# Date and Time: 2023-09-04 14:38:16
# Command: python pull_unspliced_length_GFF.py saccharomyces_cerevisiae_R64-3-1_20210421_nofasta_geneid_filtered.gff saccharomyces_cerevisiae_R64-3-1_20210421_unspliced_lengths.tsv
Gene_ID	unspliced.length
YBR066C	663
YBR067C	633
YBR068C	1830
YBR069C	1860
YBR070C	714
YBR071W	636
YBR072W	645
YBR072C-A	162
YBR073W	2877
YBR074W	2931
YBR076W	1065
YBR076C-A	267
YBR077C	489
YBR078W	1620
YBR079C	2895
YBR080C	2277
YBR081C	3999
YBR082C	542
YBR083W	1461
YBR084W	2928
YBR084C-A	1076
YBR085W	924
YBR085C-A	258
YBR086C	2841
YBR087W	1065
YBR088C	777
YBR089W	600
YBR089C-A	300
YBR090C	726
YBR091C	330
YBR092C	1404
YBR093C	1404
YBR094W	2262
YBR095C	1293
YBR096W	693
YBR097W	4365
YBR098W	2076
YBR099C	384
YBR101C	873
YBR102C	2262
YBR103W	1608
YBR103C-A	144
YBR104W	990
YBR105C	1089
YBR106W	567
YBR107C	738
YBR108W	2844
YBR109C	444
YBR109W-A	225
YBR110W	1350
YBR111C	696
YBR111W-A	441
YBR112C	2901
YBR113W	483
YBR114W	2373
YBR115C	4179
YBR116C	528
YBR117C	2046
YBR118W	1377
YBR119W	986
YBR120C	489
YBR121C	2004
YBR121C-A	159
YBR122C	534
YBR123C	1950
YBR124W	360
YBR125C	1182
YBR126C	1488
YBR126W-A	207
YBR126W-B	144
YBR127C	1554
YBR128C	1035
YBR129C	987
YBR130C	1278
YBR131W	2115
YBR131C-A	90
YBR132C	1791
YBR133C	2484
YBR134W	402
YBR135W	453
YBR136W	7107
YBR137W	540
YBR138C	1575
YBR139W	1527
YBR140C	9279
YBR141C	1014
YBR141W-A	96
YBR142W	2322
YBR143C	1314
YBR144C	315
YBR145W	1056
YBR146W	837
YBR147W	891
YBR148W	1830
YBR149W	1035
YBR150C	3285
YBR151W	951
YBR152W	876
YBR153W	735
YBR154C	648
YBR155W	1158
YBR156C	2097
YBR157C	768
YBR158W	1650
YBR159W	1044
YBR160W	897
YBR161W	1131
YBR162C	1368
YBR162W-A	198
YBR163W	1758
YBR164C	552
YBR165W	834
YBR166C	1359
YBR167C	423
YBR168W	1242
YBR169C	2082
YBR170C	1743
YBR171W	621
YBR172C	2223
YBR173C	447
YBR174C	315
YBR175W	948
YBR176W	939
YBR177C	1356
YBR178W	375
YBR179C	2568
YBR180W	1719
YBR181C	1063
YBR182C	1359
YBR182C-A	195
YBR183W	951
YBR184W	1572
YBR185C	837
YBR186W	1808
YBR187W	843
YBR188C	423
YBR189W	1001
YBR190W	312
YBR191W	871
YBR191W-A	75
YBR192W	1134
YBR193C	672
YBR194W	372
YBR195C	1269
YBR196C	1665
YBR196C-A	150
YBR196C-B	105
YBR197C	654
YBR198C	2397
YBR199W	1395
YBR200W	1656
YBR200W-A	165
YBR201W	636
YBR201C-A	204
YBR202W	2538
YBR203W	2775
YBR204C	1128
YBR205W	1215
YBR206W	324
YBR207W	1398
YBR208C	5508
YBR209W	318
YBR210W	429
YBR211C	975
YBR212W	2019
YBR213W	825
YBR214W	1584
YBR215W	1962
YBR216C	2025
YBR217W	561
YBR218C	3543
YBR219C	805
YBR220C	1683
YBR221C	1101
YBR221W-A	105
YBR222C	1632
YBR223C	1635
YBR223W-A	120
YBR224W	516
YBR225W	2703
YBR226C	411
YBR227C	1563
YBR228W	915
YBR229C	2865
YBR230C	502
YBR230W-A	201
YBR231C	912
YBR232C	360
YBR233W	1242
YBR233W-A	285
YBR234C	1155
YBR235W	3363
YBR236C	1311
YBR237W	2550
YBR238C	2196
YBR239C	1590
YBR240C	1353
YBR241C	1467
YBR242W	717
YBR243C	1347
YBR244W	489
YBR245C	3390
YBR246W	1164
YBR247C	1452
YBR248C	1659
YBR249C	1113
YBR250W	1572
YBR251W	924
YBR252W	444
YBR253W	366
YBR254C	528
YBR255W	2085
YBR255C-A	457
YBR256C	717
YBR257W	840
YBR258C	429
YBR259W	2067
YBR260C	2001
YBR261C	699
YBR262C	321
YBR263W	1473
YBR264C	600
YBR265W	963
YBR267W	1182
YBR266C	453
YBR268W	318
YBR269C	417
YBR270C	1638
YBR271W	1260
YBR272C	1443
YBR273C	1311
YBR274W	1584
YBR275C	5751
YBR276C	2424
YBR277C	402
YBR278W	606
YBR279W	1338
YBR280C	1914
YBR281C	2637
YBR282W	441
YBR283C	1473
YBR284W	2394
YBR285W	435
YBR286W	1614
YBR287W	1284
YBR288C	1452
YBR289W	2718
YBR290W	966
YBR291C	900
YBR292C	372
YBR293W	1425
YBR294W	2580
YBR295W	3651
YBR296C	1725
YBR296C-A	120
YBR297W	1407
YBR298C	1845
YBR298C-A	222
YBR299W	1755
YBR300C	498
YBR301W	363
YBR302C	1140
YCL076W	744
YCL073C	1848
YCL069W	1377
YCL068C	783
YCL067C	633
YCL066W	528
YCL065W	369
YCL064C	1083
YCL063W	1272
YCL061C	3291
YCL059C	951
YCL058C	459
YCL058W-A	342
YCL057C-A	294
YCL057W	2139
YCL056C	435
YCL055W	1008
YCL054W-A	87
YCL054W	2526
YCL052C	1251
YCL051W	1752
YCL050C	966
YCL049C	939
YCL048W-A	240
YCL048W	1392
YCL047C	777
YCL045C	2283
YCL046W	324
YCL044C	1254
YCL043C	1569
YCL041C	495
YCL042W	360
YCL040W	1503
YCL039W	2238
YCL038C	1587
YCL037C	1305
YCL036W	1701
YCL035C	333
YCL034W	1065
YCL033C	507
YCL032W	1041
YCL031C	894
YCL030C	2400
YCL029C	1323
YCL028W	1218
YCL027W	1539
YCL026C-B	582
YCL026C-A	582
YCL025C	1902
YCL023C	348
YCL024W	3114
YCL022C	516
YCL021W-A	378
YCL018W	1095
YCL017C	1494
YCL016C	1143
YCL014W	4911
YCL012C	472
YCL011C	1284
YCL010C	780
YCL009C	930
YCL008C	1158
YCL007C	393
YCL005W-A	395
YCL005W	771
YCL004W	1566
YCL002C	868
YCL001W	567
YCL001W-A	462
YCL001W-B	255
YCR001W	315
YCR002C	969
YCR003W	552
YCR004C	744
YCR005C	1383
YCR006C	474
YCR007C	720
YCR008W	1812
YCR009C	798
YCR010C	852
YCR011C	3150
YCR012W	1251
YCR013C	648
YCR014C	1749
YCR015C	954
YCR016W	873
YCR017C	2862
YCR018C	666
YCR018C-A	255
YCR019W	1092
YCR020C	648
YCR020C-A	267
YCR020W-B	237
YCR021C	999
YCR022C	345
YCR023C	1836
YCR024C	1479
YCR024C-B	267
YCR024C-A	123
YCR025C	411
YCR026C	2229
YCR027C	630
YCR028C	1539
YCR028C-A	491
YCR030C	2613
YCR031C	721
YCR032W	6504
YCR033W	3681
YCR034W	1044
YCR035C	1185
YCR036W	1002
YCR037C	2772
YCR038C	1929
YCR038W-A	126
YCR039C	633
YCR040W	528
YCR041W	333
YCR042C	4224
YCR043C	384
YCR044C	1074
YCR045C	1476
YCR045W-A	351
YCR046C	510
YCR047C	828
YCR047W-A	207
YCR049C	447
YCR048W	1833
YCR050C	309
YCR051W	669
YCR052W	1452
YCR053W	1545
YCR054C	1692
YCR057C	2772
YCR059C	777
YCR060W	336
YCR061W	1896
YCR064C	411
YCR063W	474
YCR065W	1695
YCR066W	1464
YCR067C	3198
YCR068W	1563
YCR069W	957
YCR071C	441
YCR072C	1548
YCR073C	3996
YCR073W-A	948
YCR075C	783
YCR075W-A	228
YCR076C	753
YCR077C	2391
YCR079W	1329
YCR081W	4284
YCR081C-A	237
YCR082W	387
YCR083W	384
YCR084C	2142
YCR085W	354
YCR086W	573
YCR087W	516
YCR087C-A	462
YCR088W	1779
YCR089W	4830
YCR090C	549
YCR091W	2163
YCR092C	3057
YCR093W	6327
YCR094W	1176
YCR095C	1089
YCR095W-A	159
YCR096C	360
YCR097W	487
YCR097W-A	267
YCR098C	1557
YCR099C	468
YCR100C	951
YCR101C	549
YCR102C	1107
YCR102W-A	198
YCR104W	375
YCR105W	1086
YCR106W	2499
YCR107W	1092
YCR108C	192
YDL248W	1152
YDL247W-A	75
YDL247W	1830
YDL246C	1074
YDL245C	1704
YDL244W	1023
YDL243C	990
YDL242W	354
YDL241W	372
YDL240C-A	138
YDL240W	3054
YDL239C	2373
YDL238C	1470
YDL237W	1173
YDL236W	939
YDL235C	504
YDL234C	2241
YDL233W	1377
YDL232W	111
YDL231C	3378
YDL230W	1008
YDL229W	1842
YDL228C	642
YDL227C	1761
YDL226C	1059
YDL225W	1656
YDL224C	1950
YDL223C	3141
YDL222C	930
YDL221W	552
YDL220C	2775
YDL219W	524
YDL218W	954
YDL217C	624
YDL216C	1323
YDL215C	3279
YDL214C	2100
YDL213C	678
YDL212W	633
YDL211C	1119
YDL210W	1716
YDL209C	1020
YDL208W	471
YDL207W	1617
YDL206W	2289
YDL205C	984
YDL204W	1182
YDL203C	1872
YDL202W	750
YDL201W	861
YDL200C	567
YDL199C	2064
YDL198C	903
YDL197C	1578
YDL196W	330
YDL195W	3822
YDL194W	2655
YDL193W	1128
YDL192W	546
YDL191W	854
YDL190C	2886
YDL189W	1374
YDL188C	1134
YDL187C	330
YDL186W	834
YDL185C-A	228
YDL185W	3216
YDL184C	78
YDL183C	963
YDL182W	1287
YDL181W	258
YDL180W	1644
YDL179W	915
YDL178W	1593
YDL177C	513
YDL176W	2127
YDL175C	1035
YDL174C	1764
YDL173W	888
YDL172C	480
YDL171C	6438
YDL170W	1587
YDL169C	672
YDL168W	1161
YDL167C	2160
YDL166C	594
YDL165W	576
YDL164C	2268
YDL163W	303
YDL162C	357
YDL161W	1365
YDL160C-A	243
YDL160C	1521
YDL159W-A	132
YDL159W	1548
YDL159C-B	177
YDL158C	309
YDL157C	357
YDL156W	1569
YDL155W	1284
YDL154W	2706
YDL153C	1833
YDL152W	366
YDL151C	582
YDL150W	1269
YDL149W	2994
YDL148C	2433
YDL147W	1338
YDL146W	1476
YDL145C	3606
YDL144C	1071
YDL143W	1587
YDL142C	852
YDL141W	2073
YDL140C	5202
YDL139C	672
YDL138W	2292
YDL137W	546
YDL136W	768
YDL135C	609
YDL134C	1110
YDL133C-A	78
YDL133W	1314
YDL132W	2448
YDL131W	1323
YDL130W-A	261
YDL130W	622
YDL129W	876
YDL128W	1236
YDL127W	927
YDL126C	2508
YDL125C	588
YDL124W	939
YDL123W	423
YDL122W	2430
YDL121C	450
YDL120W	525
YDL119C	924
YDL118W	381
YDL117W	2658
YDL116W	2181
YDL115C	1132
YDL114W-A	114
YDL114W	927
YDL113C	1923
YDL112W	4311
YDL111C	798
YDL110C	453
YDL109C	1944
YDL108W	1002
YDL107W	1056
YDL106C	1680
YDL105W	1209
YDL104C	1224
YDL103C	1434
YDL102W	3294
YDL101C	1542
YDL100C	1065
YDL099W	1026
YDL098C	585
YDL097C	1305
YDL096C	327
YDL095W	2454
YDL094C	510
YDL093W	2232
YDL092W	441
YDL091C	1368
YDL090C	1296
YDL089W	1455
YDL088C	1587
YDL087C	786
YDL086W	822
YDL086C-A	435
YDL085C-A	207
YDL085W	1638
YDL084W	1341
YDL083C	864
YDL082W	965
YDL081C	321
YDL080C	1830
YDL079C	1798
YDL078C	1032
YDL077C	3150
YDL076C	885
YDL075W	763
YDL074C	2103
YDL073W	2955
YDL072C	612
YDL071C	375
YDL070W	1917
YDL069C	690
YDL068W	330
YDL067C	180
YDL066W	1287
YDL065C	1029
YDL064W	584
YDL063C	1863
YDL062W	426
YDL061C	171
YDL060W	2367
YDL059C	717
YDL058W	5373
YDL057W	987
YDL056W	2502
YDL055C	1086
YDL054C	1461
YDL053C	558
YDL052C	912
YDL051W	828
YDL050C	372
YDL049C	807
YDL048C	1473
YDL047W	936
YDL046W	522
YDL045W-A	288
YDL045C	921
YDL044C	1323
YDL043C	801
YDL042C	1689
YDL041W	354
YDL040C	2565
YDL039C	2097
YDL037C	987
YDL036C	1389
YDL035C	2886
YDL034W	345
YDL033C	1254
YDL032W	312
YDL031W	2988
YDL030W	1593
YDL029W	1299
YDL028C	2295
YDL027C	1263
YDL026W	312
YDL025C	1863
YDL025W-A	105
YDL024C	1407
YDL022C-A	249
YDL023C	321
YDL022W	1176
YDL021W	936
YDL020C	1596
YDL019C	3852
YDL018C	678
YDL017W	1524
YDL016C	303
YDL015C	933
YDL014W	984
YDL013W	1860
YDL012C	410
YDL011C	324
YDL010W	696
YDL009C	324
YDL008W	498
YDL007C-A	258
YDL007W	1314
YDL006W	846
YDL005C	1296
YDL004W	483
YDL003W	1701
YDL002C	612
YDL001W	1293
YDR001C	2256
YDR002W	606
YDR003W	633
YDR003W-A	123
YDR004W	1383
YDR005C	1268
YDR006C	2706
YDR007W	675
YDR008C	351
YDR009W	1563
YDR010C	333
YDR011W	4506
YDR012W	1089
YDR013W	627
YDR014W	1944
YDR014W-A	489
YDR015C	240
YDR016C	285
YDR017C	3153
YDR018C	1191
YDR019C	1203
YDR020C	699
YDR021W	1200
YDR022C	591
YDR023W	1389
YDR024W	486
YDR025W	810
YDR026C	1713
YDR027C	2670
YDR028C	3045
YDR029W	315
YDR030C	1521
YDR031W	366
YDR032C	597
YDR033W	963
YDR034C	2373
YDR034C-A	177
YDR034W-B	156
YDR035W	1113
YDR036C	1503
YDR037W	1776
YDR038C	3276
YDR039C	3276
YDR040C	3276
YDR041W	612
YDR042C	603
YDR043C	696
YDR044W	987
YDR045C	333
YDR046C	1815
YDR047W	1089
YDR048C	315
YDR049W	1899
YDR050C	747
YDR051C	1005
YDR052C	2115
YDR053W	396
YDR054C	888
YDR055W	1335
YDR056C	618
YDR057W	1629
YDR058C	981
YDR059C	537
YDR060W	3078
YDR061W	1620
YDR062W	1686
YDR063W	450
YDR064W	995
YDR065W	1098
YDR066C	591
YDR067C	675
YDR068W	933
YDR069C	2781
YDR070C	282
YDR071C	576
YDR072C	1584
YDR073W	510
YDR074W	2691
YDR075W	927
YDR076W	1221
YDR077W	1017
YDR078C	672
YDR079W	336
YDR079C-A	219
YDR080W	2979
YDR081C	2778
YDR082W	1485
YDR083W	1179
YDR084C	600
YDR085C	1863
YDR086C	243
YDR087C	837
YDR088C	1149
YDR089W	2610
YDR090C	933
YDR091C	1827
YDR092W	730
YDR093W	4839
YDR094W	336
YDR095C	411
YDR096W	2685
YDR097C	3729
YDR098C	753
YDR099W	822
YDR100W	432
YDR101C	1782
YDR102C	333
YDR103W	2754
YDR104C	3738
YDR105C	1422
YDR106W	855
YDR107C	2019
YDR108W	2097
YDR109C	2148
YDR110W	1701
YDR111C	1524
YDR112W	309
YDR113C	1122
YDR114C	303
YDR115W	318
YDR116C	858
YDR117C	1698
YDR118W	1959
YDR118W-A	117
YDR119W	2307
YDR119W-A	201
YDR120C	1713
YDR121W	591
YDR122W	3195
YDR123C	915
YDR124W	975
YDR125C	1362
YDR126W	1011
YDR127W	4767
YDR128W	3447
YDR129C	2040
YDR130C	876
YDR131C	1671
YDR132C	1488
YDR133C	336
YDR135C	4548
YDR136C	573
YDR137W	1992
YDR138W	2259
YDR139C	307
YDR140W	666
YDR141C	5097
YDR142C	1128
YDR143C	1833
YDR144C	1791
YDR145W	1620
YDR146C	2130
YDR147W	1605
YDR148C	1392
YDR149C	708
YDR150W	8247
YDR151C	978
YDR152W	798
YDR153C	1236
YDR154C	351
YDR155C	489
YDR156W	414
YDR157W	402
YDR158W	1098
YDR159W	3906
YDR160W	2559
YDR161W	1164
YDR162C	711
YDR163W	528
YDR164C	2175
YDR165W	1335
YDR166C	2916
YDR167W	621
YDR168W	1521
YDR169C	1542
YDR169C-A	150
YDR170C	6030
YDR171W	1128
YDR172W	2058
YDR173C	1068
YDR174W	741
YDR175C	960
YDR176W	2109
YDR177W	648
YDR178W	546
YDR179C	489
YDR179W-A	1392
YDR180W	4482
YDR181C	1446
YDR182W	1476
YDR182W-A	204
YDR183W	693
YDR183C-A	258
YDR184C	885
YDR185C	540
YDR186C	2634
YDR187C	519
YDR188W	1641
YDR189W	2001
YDR190C	1392
YDR191W	1113
YDR192C	1293
YDR193W	399
YDR194C	1995
YDR194W-A	153
YDR195W	1602
YDR196C	726
YDR197W	1170
YDR198C	1440
YDR199W	366
YDR200C	1815
YDR201W	498
YDR202C	1056
YDR203W	318
YDR204W	1008
YDR205W	2175
YDR206W	2655
YDR207C	2511
YDR208W	2340
YDR209C	414
YDR210W	228
YDR211W	2139
YDR212W	1680
YDR213W	2742
YDR214W	1053
YDR215C	414
YDR216W	3972
YDR217C	3930
YDR218C	1272
YDR219C	1398
YDR220C	294
YDR221W	2109
YDR222W	1248
YDR223W	1404
YDR224C	396
YDR225W	399
YDR226W	669
YDR227W	4077
YDR228C	1881
YDR229W	1362
YDR230W	348
YDR231C	618
YDR232W	1647
YDR233C	888
YDR234W	2082
YDR235W	1635
YDR236C	657
YDR237W	879
YDR238C	2922
YDR239C	2364
YDR240C	1479
YDR241W	288
YDR242W	1650
YDR243C	1767
YDR244W	1839
YDR245W	1182
YDR246W	660
YDR246W-A	201
YDR247W	1386
YDR248C	582
YDR249C	1122
YDR250C	276
YDR251W	2493
YDR252W	450
YDR253C	576
YDR254W	1377
YDR255C	1266
YDR256C	1548
YDR257C	1485
YDR258C	2436
YDR259C	1152
YDR260C	513
YDR261C	1689
YDR262W	819
YDR263C	1293
YDR264C	2295
YDR265W	1014
YDR266C	1920
YDR267C	993
YDR268W	1140
YDR269C	324
YDR270W	3015
YDR271C	372
YDR272W	825
YDR273W	1098
YDR274C	372
YDR275W	708
YDR276C	168
YDR277C	1302
YDR278C	318
YDR279W	1053
YDR280W	918
YDR281C	315
YDR282C	1245
YDR283C	4980
YDR284C	870
YDR285W	2628
YDR286C	345
YDR287W	879
YDR288W	912
YDR289C	1230
YDR290W	330
YDR291W	3234
YDR292C	1866
YDR293C	3753
YDR294C	1770
YDR295C	2025
YDR296W	681
YDR297W	1050
YDR298C	639
YDR299W	1605
YDR300C	1287
YDR301W	4074
YDR302W	660
YDR303C	2658
YDR304C	678
YDR305C	743
YDR306C	1437
YDR307W	1989
YDR308C	423
YDR309C	1152
YDR310C	3189
YDR311W	1929
YDR312W	1362
YDR313C	861
YDR314C	2079
YDR315C	846
YDR316W	1416
YDR317W	1245
YDR318W	1190
YDR319C	825
YDR320C	2007
YDR320C-A	219
YDR320W-B	138
YDR321W	1146
YDR322W	1104
YDR322C-A	291
YDR323C	1548
YDR324C	2331
YDR325W	3108
YDR326C	4317
YDR327W	327
YDR328C	585
YDR329C	1326
YDR330W	1503
YDR331W	1236
YDR332W	2070
YDR333C	2172
YDR334W	4545
YDR335W	3675
YDR336W	945
YDR337W	861
YDR338C	2088
YDR339C	570
YDR340W	303
YDR341C	1824
YDR342C	1713
YDR343C	1713
YDR344C	444
YDR345C	1704
YDR346C	1446
YDR347W	966
YDR348C	1500
YDR349C	1791
YDR350C	2055
YDR351W	2595
YDR352W	954
YDR353W	960
YDR354W	1143
YDR354C-A	144
YDR355C	303
YDR356W	2835
YDR357C	369
YDR358W	1674
YDR359C	2949
YDR360W	435
YDR361C	852
YDR362C	2019
YDR363W	1371
YDR363W-A	270
YDR364C	1368
YDR365C	1887
YDR366C	399
YDR367W	767
YDR368W	939
YDR369C	2565
YDR370C	1329
YDR371W	1536
YDR371C-A	105
YDR372C	1038
YDR373W	573
YDR374C	921
YDR374W-A	270
YDR375C	1371
YDR376W	1482
YDR377W	306
YDR378C	261
YDR379W	3030
YDR379C-A	240
YDR380W	1908
YDR381W	1447
YDR381C-A	539
YDR382W	333
YDR383C	717
YDR384C	828
YDR385W	2529
YDR386W	1899
YDR387C	1668
YDR388W	1449
YDR389W	1965
YDR390C	1911
YDR391C	699
YDR392W	1014
YDR393W	1371
YDR394W	1287
YDR395W	2835
YDR396W	501
YDR397C	533
YDR398W	1932
YDR399W	666
YDR400W	1023
YDR401W	564
YDR402C	1470
YDR403W	1611
YDR404C	516
YDR405W	792
YDR406W	4590
YDR406W-A	246
YDR407C	3870
YDR408C	645
YDR409W	2715
YDR410C	720
YDR411C	1026
YDR412W	708
YDR413C	576
YDR414C	1089
YDR415C	1125
YDR416W	2580
YDR417C	372
YDR418W	498
YDR419W	1899
YDR420W	5409
YDR421W	2853
YDR422C	2448
YDR423C	1230
YDR424C	455
YDR425W	1878
YDR426C	378
YDR427W	1182
YDR428C	786
YDR429C	825
YDR430C	2970
YDR431W	312
YDR432W	1245
YDR433W	441
YDR434W	1605
YDR435C	987
YDR436W	2133
YDR437W	423
YDR438W	1113
YDR439W	1044
YDR440W	1749
YDR441C	546
YDR442W	393
YDR443C	4263
YDR444W	2064
YDR445C	408
YDR446W	909
YDR447C	725
YDR448W	1305
YDR449C	1323
YDR450W	876
YDR451C	1062
YDR452W	2025
YDR453C	591
YDR454C	564
YDR455C	309
YDR456W	1902
YDR457W	9807
YDR458C	1992
YDR459C	1125
YDR460W	966
YDR461W	111
YDR461C-A	243
YDR462W	444
YDR463W	1560
YDR464W	4308
YDR464C-A	189
YDR465C	1239
YDR466W	2697
YDR467C	327
YDR468C	675
YDR469W	528
YDR470C	1509
YDR471W	795
YDR472W	852
YDR473C	1410
YDR475C	2631
YDR476C	675
YDR477W	1902
YDR478W	597
YDR479C	1665
YDR480W	972
YDR481C	1701
YDR482C	408
YDR483W	1329
YDR484W	1926
YDR485C	2388
YDR486C	690
YDR487C	627
YDR488C	1602
YDR489W	885
YDR490C	2301
YDR491C	492
YDR492W	951
YDR493W	372
YDR494W	1086
YDR495C	3036
YDR496C	1971
YDR497C	1755
YDR498C	1152
YDR499W	2244
YDR500C	656
YDR501W	1566
YDR502C	1155
YDR503C	825
YDR504C	384
YDR505C	2526
YDR506C	1827
YDR507C	3429
YDR508C	1992
YDR509W	348
YDR510W	306
YDR510C-A	117
YDR511W	402
YDR512C	564
YDR513W	432
YDR514C	1452
YDR515W	1344
YDR516C	1503
YDR517W	1119
YDR518W	1554
YDR519W	408
YDR520C	2319
YDR521W	336
YDR522C	1509
YDR523C	1473
YDR524C	1449
YDR524W-C	90
YDR524C-B	201
YDR524C-A	120
YDR525W	330
YDR525W-A	240
YDR526C	471
YDR527W	1320
YDR528W	1272
YDR529C	384
YDR530C	978
YDR531W	1104
