# Run started 2022-06-16 22:12:45.236780
# Command: scripts/annotation/extract_lengths_from_gff.py src/annotations/Scerevisiae.R64-1-1.104.yeastss.pelechano.gtf src/annotations/Scerevisiae.R64-1-1.104.yeastss.pelechano_lengths_withintron.tsv -i
# Parameters:
#	in_gtf: src/annotations/Scerevisiae.R64-1-1.104.yeastss.pelechano.gtf
#	out_file: src/annotations/Scerevisiae.R64-1-1.104.yeastss.pelechano_lengths_withintron.tsv
#	intron: True
ORF	Length
YBR052C	980
YBR053C	1444
YBR054W	1798
YBR055C	2834
YBR056W	1859
YBR056W-A	815
YBR056C-B	274
YBR057C	1329
YBR058C	3617
YBR058C-A	743
YBR059C	3570
YBR060C	2013
YBR061C	2138
YBR062C	739
YBR063C	1272
YBR064W	429
YBR065C	1734
YBR066C	824
YBR067C	822
YBR068C	2111
YBR069C	2691
YBR070C	970
YBR071W	984
YBR072W	883
YBR072C-A	162
YBR073W	2877
YBR074W	3051
YBR076W	1065
YBR076C-A	2035
YBR077C	777
YBR078W	2423
YBR079C	3088
YBR080C	2475
YBR081C	4145
YBR082C	1146
YBR083W	1597
YBR084W	3158
YBR084C-A	1217
YBR085W	1238
YBR085C-A	664
YBR086C	3279
YBR087W	1192
YBR088C	1017
YBR089W	855
YBR089C-A	954
YBR090C	726
YBR091C	557
YBR092C	1484
YBR093C	1507
YBR094W	2450
YBR095C	1425
YBR096W	1093
YBR097W	4396
YBR098W	2736
YBR099C	453
YBR101C	1785
YBR102C	2510
YBR103W	1787
YBR103C-A	214
YBR104W	1526
YBR105C	1298
YBR106W	2165
YBR107C	1325
YBR108W	3081
YBR109C	828
YBR109W-A	548
YBR110W	1524
YBR111C	767
YBR111W-A	660
YBR112C	3357
YBR113W	483
YBR114W	2633
YBR115C	4433
YBR116C	528
YBR117C	2087
YBR118W	1500
YBR119W	1288
YBR120C	813
YBR121C	2185
YBR121C-A	1326
YBR122C	776
YBR123C	2085
YBR124W	360
YBR125C	1508
YBR126C	1694
YBR126W-A	230
YBR126W-B	368
YBR127C	1890
YBR128C	1188
YBR129C	1182
YBR130C	1460
YBR131W	2371
YBR131C-A	90
YBR132C	2246
YBR133C	2910
YBR134W	402
YBR135W	821
YBR136W	7152
YBR137W	851
YBR138C	1790
YBR139W	1853
YBR140C	9579
YBR141C	1219
YBR141W-A	688
YBR142W	2583
YBR143C	1626
YBR144C	315
YBR145W	1417
YBR146W	1376
YBR147W	1334
YBR148W	1997
YBR149W	1826
YBR150C	3298
YBR151W	1411
YBR152W	876
YBR153W	1021
YBR154C	1160
YBR155W	1351
YBR156C	2331
YBR157C	969
YBR158W	2068
YBR159W	1251
YBR160W	1578
YBR161W	1588
YBR162C	1876
YBR162W-A	300
YBR163W	2081
YBR164C	1106
YBR165W	1073
YBR166C	1514
YBR167C	572
YBR168W	1525
YBR169C	2270
YBR170C	2080
YBR171W	840
YBR172C	2456
YBR173C	703
YBR174C	479
YBR175W	1094
YBR176W	1220
YBR177C	1632
YBR178W	503
YBR179C	2796
YBR180W	2063
YBR181C	1324
YBR182C	1471
YBR182C-A	652
YBR183W	1134
YBR184W	1589
YBR185C	1046
YBR186W	1814
YBR187W	1239
YBR188C	1662
YBR189W	1774
YBR190W	312
YBR191W	944
YBR191W-A	472
YBR192W	1573
YBR193C	1702
YBR194W	713
YBR195C	1467
YBR196C	1900
YBR196C-A	400
YBR196C-B	385
YBR197C	1285
YBR198C	2571
YBR199W	1798
YBR200W	1966
YBR200W-A	165
YBR201W	1482
YBR201C-A	507
YBR202W	2725
YBR203W	3222
YBR204C	1438
YBR205W	1262
YBR206W	427
YBR207W	1647
YBR208C	5651
YBR209W	411
YBR210W	596
YBR211C	1072
YBR212W	2631
YBR213W	1122
YBR214W	1863
YBR215W	2468
YBR216C	2349
YBR217W	936
YBR218C	3747
YBR219C	805
YBR220C	2026
YBR221C	1615
YBR221W-A	105
YBR222C	1788
YBR223C	1915
YBR223W-A	120
YBR224W	516
YBR225W	2838
YBR226C	411
YBR227C	1750
YBR228W	1387
YBR229C	3005
YBR230C	616
YBR230W-A	393
YBR231C	1251
YBR232C	360
YBR233W	1478
YBR233W-A	676
YBR234C	1358
YBR235W	3535
YBR236C	1979
YBR237W	2687
YBR238C	2769
YBR239C	1850
YBR240C	1681
YBR241C	1673
YBR242W	1137
YBR243C	1972
YBR244W	655
YBR245C	3390
YBR246W	1342
YBR247C	1753
YBR248C	1902
YBR249C	1488
YBR250W	1572
YBR251W	1132
YBR252W	761
YBR253W	526
YBR254C	726
YBR255W	2286
YBR255C-A	686
YBR256C	1220
YBR257W	1152
YBR258C	806
YBR259W	2350
YBR260C	2502
YBR261C	923
YBR262C	502
YBR263W	1696
YBR264C	736
YBR265W	1142
YBR267W	1314
YBR266C	453
YBR268W	539
YBR269C	785
YBR270C	1734
YBR271W	1384
YBR272C	1706
YBR273C	1451
YBR274W	1884
YBR275C	5852
YBR276C	2608
YBR277C	768
YBR278W	851
YBR279W	1724
YBR280C	2100
YBR281C	2810
YBR282W	574
YBR283C	1860
YBR284W	2764
YBR285W	670
YBR286W	1804
YBR287W	1546
YBR288C	2491
YBR289W	2828
YBR290W	1150
YBR291C	1205
YBR292C	606
YBR293W	1425
YBR294W	2580
YBR295W	3702
YBR296C	2266
YBR296C-A	120
YBR297W	1699
YBR298C	2358
YBR298C-A	222
YBR299W	1907
YBR300C	781
YBR301W	363
YBR302C	1140
YCL076W	744
YCL073C	1848
YCL069W	1377
YCL068C	783
YCL067C	633
YCL066W	528
YCL065W	369
YCL064C	1675
YCL063W	1438
YCL061C	3339
YCL059C	1087
YCL058C	459
YCL058W-A	489
YCL057C-A	463
YCL057W	2330
YCL056C	891
YCL055W	1247
YCL054W-A	122
YCL054W	2661
YCL052C	1484
YCL051W	2155
YCL050C	1142
YCL049C	1256
YCL048W-A	293
YCL048W	1433
YCL047C	1076
YCL045C	2384
YCL046W	324
YCL044C	1465
YCL043C	1706
YCL041C	953
YCL042W	539
YCL040W	1848
YCL039W	2331
YCL038C	1751
YCL037C	2048
YCL036W	1840
YCL035C	1155
YCL034W	1269
YCL033C	582
YCL032W	1347
YCL031C	1046
YCL030C	2615
YCL029C	1634
YCL028W	1638
YCL027W	1669
YCL026C-B	692
YCL026C-A	799
YCL025C	2026
YCL023C	348
YCL024W	3176
YCL022C	516
YCL021W-A	683
YCL018W	1271
YCL017C	1974
YCL016C	1333
YCL014W	5014
YCL012C	661
YCL011C	1604
YCL010C	2273
YCL009C	1101
YCL008C	1311
YCL007C	393
YCL005W-A	543
YCL005W	923
YCL004W	1766
YCL002C	1451
YCL001W	695
YCL001W-A	749
YCL001W-B	255
YCR001W	315
YCR002C	1650
YCR003W	754
YCR004C	1466
YCR005C	1723
YCR006C	1138
YCR007C	926
YCR008W	2504
YCR009C	1499
YCR010C	1146
YCR011C	3335
YCR012W	1498
YCR013C	648
YCR014C	1749
YCR015C	1604
YCR016W	1189
YCR017C	3081
YCR018C	666
YCR018C-A	408
YCR019W	1457
YCR020C	754
YCR020C-A	702
YCR020W-B	757
YCR021C	1278
YCR022C	625
YCR023C	2234
YCR024C	1640
YCR024C-B	466
YCR024C-A	516
YCR025C	785
YCR026C	2524
YCR027C	1449
YCR028C	2434
YCR028C-A	823
YCR030C	3548
YCR031C	1663
YCR032W	6630
YCR033W	3903
YCR034W	1497
YCR035C	1604
YCR036W	1526
YCR037C	2905
YCR038C	1929
YCR038W-A	126
YCR039C	633
YCR040W	528
YCR041W	333
YCR042C	4247
YCR043C	648
YCR044C	1246
YCR045C	1476
YCR045W-A	1165
YCR046C	620
YCR047C	1134
YCR047W-A	207
YCR049C	447
YCR048W	2092
YCR050C	309
YCR051W	937
YCR052W	3159
YCR053W	1819
YCR054C	1994
YCR057C	2938
YCR059C	1045
YCR060W	484
YCR061W	2278
YCR064C	704
YCR063W	986
YCR065W	2209
YCR066W	1696
YCR067C	3387
YCR068W	1803
YCR069W	1202
YCR071C	743
YCR072C	1695
YCR073C	4061
YCR073W-A	1085
YCR075C	959
YCR075W-A	1199
YCR076C	977
YCR077C	2628
YCR079W	1480
YCR081W	4298
YCR081C-A	237
YCR082W	518
YCR083W	568
YCR084C	2509
YCR085W	354
YCR086W	675
YCR087W	929
YCR087C-A	551
YCR088W	1954
YCR089W	5126
YCR090C	631
YCR091W	2672
YCR092C	3253
YCR093W	6357
YCR094W	1752
YCR095C	1238
YCR095W-A	1750
YCR096C	561
YCR097W	533
YCR097W-A	725
YCR098C	1871
YCR099C	732
YCR100C	951
YCR101C	1141
YCR102C	1378
YCR102W-A	198
YCR104W	375
YCR105W	1086
YCR106W	2866
YCR107W	1092
YCR108C	192
YDL248W	1159
YDL247W-A	75
YDL247W	1830
YDL246C	1074
YDL245C	1704
YDL244W	1023
YDL243C	1377
YDL242W	354
YDL241W	839
YDL240C-A	138
YDL240W	3469
YDL239C	2373
YDL238C	1582
YDL237W	1488
YDL236W	1205
YDL235C	883
YDL234C	2510
YDL233W	1669
YDL232W	418
YDL231C	3489
YDL230W	1315
YDL229W	1977
YDL228C	642
YDL227C	1858
YDL226C	1598
YDL225W	1938
YDL224C	2560
YDL223C	3198
YDL222C	1442
YDL221W	552
YDL220C	3244
YDL219W	829
YDL218W	1593
YDL217C	2313
YDL216C	1461
YDL215C	3480
YDL214C	2227
YDL213C	1430
YDL212W	906
YDL211C	1353
YDL210W	1716
YDL209C	1301
YDL208W	741
YDL207W	1735
YDL206W	2464
YDL205C	1516
YDL204W	1580
YDL203C	2313
YDL202W	1222
YDL201W	977
YDL200C	654
YDL199C	2219
YDL198C	1294
YDL197C	2087
YDL196W	371
YDL195W	4127
YDL194W	2863
YDL193W	1435
YDL192W	1337
YDL191W	1037
YDL190C	3293
YDL189W	1748
YDL188C	1470
YDL187C	481
YDL186W	903
YDL185C-A	228
YDL185W	3499
YDL184C	522
YDL183C	1389
YDL182W	1406
YDL181W	653
YDL180W	1929
YDL179W	1274
YDL178W	1751
YDL177C	673
YDL176W	2519
YDL175C	1303
YDL174C	1875
YDL173W	928
YDL172C	480
YDL171C	6694
YDL170W	1760
YDL169C	837
YDL168W	1407
YDL167C	2445
YDL166C	787
YDL165W	817
YDL164C	2480
YDL163W	303
YDL162C	357
YDL161W	1624
YDL160C-A	1349
YDL160C	2247
YDL159W-A	132
YDL159W	1793
YDL159C-B	177
YDL158C	482
YDL157C	736
YDL156W	2661
YDL155W	1543
YDL154W	2706
YDL153C	2041
YDL152W	366
YDL151C	582
YDL150W	1460
YDL149W	3121
YDL148C	2751
YDL147W	1735
YDL146W	1917
YDL145C	4018
YDL144C	1293
YDL143W	1902
YDL142C	1042
YDL141W	2575
YDL140C	5745
YDL139C	817
YDL138W	2621
YDL137W	1222
YDL136W	1132
YDL135C	983
YDL134C	1750
YDL133C-A	481
YDL133W	1577
YDL132W	2735
YDL131W	1662
YDL130W-A	581
YDL130W	951
YDL129W	1354
YDL128W	1510
YDL127W	1253
YDL126C	2758
YDL125C	1179
YDL124W	1041
YDL123W	837
YDL122W	2742
YDL121C	676
YDL120W	871
YDL119C	1256
YDL118W	381
YDL117W	3106
YDL116W	2466
YDL115C	1266
YDL114W-A	336
YDL114W	927
YDL113C	2114
YDL112W	4502
YDL111C	1029
YDL110C	691
YDL109C	2286
YDL108W	1088
YDL107W	1282
YDL106C	1981
YDL105W	1873
YDL104C	1383
YDL103C	1722
YDL102W	3375
YDL101C	1853
YDL100C	1258
YDL099W	1683
YDL098C	733
YDL097C	1501
YDL096C	327
YDL095W	2883
YDL094C	510
YDL093W	2548
YDL092W	683
YDL091C	1584
YDL090C	1617
YDL089W	1864
YDL088C	1887
YDL087C	1768
YDL086W	1019
YDL086C-A	942
YDL085C-A	689
YDL085W	2402
YDL084W	1809
YDL083C	1010
YDL082W	1390
YDL081C	2381
YDL080C	2168
YDL079C	1858
YDL078C	2429
YDL077C	3337
YDL076C	1112
YDL075W	901
YDL074C	2357
YDL073W	3191
YDL072C	763
YDL071C	375
YDL070W	2121
YDL069C	946
YDL068W	570
YDL067C	460
YDL066W	1804
YDL065C	1216
YDL064W	890
YDL063C	2209
YDL062W	426
YDL061C	1009
YDL060W	2418
YDL059C	1090
YDL058W	5409
YDL057W	1208
YDL056W	2741
YDL055C	1564
YDL054C	1626
YDL053C	948
YDL052C	1212
YDL051W	1119
YDL050C	372
YDL049C	1370
YDL048C	1661
YDL047W	1384
YDL046W	967
YDL045W-A	453
YDL045C	1184
YDL044C	1424
YDL043C	1333
YDL042C	1857
YDL041W	774
YDL040C	2715
YDL039C	2097
YDL037C	1165
YDL036C	1782
YDL035C	3301
YDL034W	345
YDL033C	1548
YDL032W	312
YDL031W	3177
YDL030W	1750
YDL029W	1663
YDL028C	2565
YDL027C	1506
YDL026W	703
YDL025C	2273
YDL025W-A	2117
YDL024C	1751
YDL022C-A	393
YDL023C	321
YDL022W	1470
YDL021W	1146
YDL020C	1851
YDL019C	4217
YDL018C	1361
YDL017W	1656
YDL016C	682
YDL015C	1273
YDL014W	1415
YDL013W	2127
YDL012C	615
YDL011C	324
YDL010W	1133
YDL009C	398
YDL008W	661
YDL007C-A	258
YDL007W	1496
YDL006W	1396
YDL005C	1643
YDL004W	1551
YDL003W	1949
YDL002C	1183
YDL001W	1485
YDR001C	2540
YDR002W	835
YDR003W	734
YDR003W-A	471
YDR004W	1695
YDR005C	1676
YDR006C	2889
YDR007W	1277
YDR008C	351
YDR009W	2284
YDR010C	779
YDR011W	5002
YDR012W	1470
YDR013W	810
YDR014W	1995
YDR014W-A	681
YDR015C	240
YDR016C	591
YDR017C	3153
YDR018C	1351
YDR019C	1535
YDR020C	1195
YDR021W	1381
YDR022C	778
YDR023W	1588
YDR024W	1052
YDR025W	1131
YDR026C	2106
YDR027C	2893
YDR028C	3805
YDR029W	315
YDR030C	1752
YDR031W	620
YDR032C	891
YDR033W	1691
YDR034C	2809
YDR034C-A	177
YDR034W-B	1120
YDR035W	1469
YDR036C	1754
YDR037W	2024
YDR038C	3276
YDR039C	3276
YDR040C	3423
YDR041W	1172
YDR042C	1278
YDR043C	1008
YDR044W	1177
YDR045C	805
YDR046C	2069
YDR047W	1365
YDR048C	449
YDR049W	2085
YDR050C	1117
YDR051C	1157
YDR052C	2510
YDR053W	396
YDR054C	1521
YDR055W	1555
YDR056C	842
YDR057W	1831
YDR058C	1193
YDR059C	730
YDR060W	3248
YDR061W	1805
YDR062W	2848
YDR063W	590
YDR064W	1295
YDR065W	3537
YDR066C	1222
YDR067C	860
YDR068W	1170
YDR069C	3152
YDR070C	497
YDR071C	756
YDR072C	1804
YDR073W	918
YDR074W	3022
YDR075W	1258
YDR076W	2353
YDR077W	1375
YDR078C	892
YDR079W	661
YDR079C-A	502
YDR080W	3577
YDR081C	2900
YDR082W	1713
YDR083W	1325
YDR084C	2037
YDR085C	2056
YDR086C	1014
YDR087C	1019
YDR088C	1522
YDR089W	2822
YDR090C	1373
YDR091C	2226
YDR092W	972
YDR093W	5105
YDR094W	658
YDR095C	411
YDR096W	3111
YDR097C	3904
YDR098C	1090
YDR099W	1397
YDR100W	703
YDR101C	1930
YDR102C	333
YDR103W	2845
YDR104C	3823
YDR105C	1553
YDR106W	924
YDR107C	2398
YDR108W	2209
YDR109C	2512
YDR110W	1958
YDR111C	2228
YDR112W	309
YDR113C	1320
YDR114C	303
YDR115W	722
YDR116C	1126
YDR117C	1990
YDR118W	1989
YDR118W-A	395
YDR119W	2475
YDR119W-A	583
YDR120C	1928
YDR121W	967
YDR122W	3483
YDR123C	1695
YDR124W	1834
YDR125C	1362
YDR126W	1301
YDR127W	4913
YDR128W	3491
YDR129C	2231
YDR130C	1290
YDR131C	1872
YDR132C	1829
YDR133C	768
YDR135C	4697
YDR136C	573
YDR137W	2234
YDR138W	2907
YDR139C	519
YDR140W	880
YDR141C	5132
YDR142C	1402
YDR143C	2173
YDR144C	2321
YDR145W	1886
YDR146C	2367
YDR147W	1713
YDR148C	1796
YDR149C	708
YDR150W	8307
YDR151C	1387
YDR152W	910
YDR153C	1601
YDR154C	408
YDR155C	633
YDR156W	541
YDR157W	402
YDR158W	1358
YDR159W	4003
YDR160W	2737
YDR161W	1409
YDR162C	1054
YDR163W	706
YDR164C	2400
YDR165W	2024
YDR166C	3065
YDR167W	849
YDR168W	1819
YDR169C	2302
YDR169C-A	150
YDR170C	6248
YDR171W	1309
YDR172W	2290
YDR173C	1245
YDR174W	1139
YDR175C	1184
YDR176W	2466
YDR177W	939
YDR178W	1170
YDR179C	638
YDR179W-A	1654
YDR180W	4679
YDR181C	1664
YDR182W	1641
YDR182W-A	859
YDR183W	903
YDR183C-A	774
YDR184C	1136
YDR185C	889
YDR186C	2810
YDR187C	519
YDR188W	1841
YDR189W	2157
YDR190C	1716
YDR191W	1237
YDR192C	1458
YDR193W	399
YDR194C	2173
YDR194W-A	153
YDR195W	1925
YDR196C	964
YDR197W	1574
YDR198C	1630
YDR199W	366
YDR200C	2016
YDR201W	891
YDR202C	1396
YDR203W	318
YDR204W	1292
YDR205W	2296
YDR206W	3002
YDR207C	2694
YDR208W	2598
YDR209C	414
YDR210W	666
YDR211W	2518
YDR212W	2485
YDR213W	2996
YDR214W	1718
YDR215C	1896
YDR216W	4481
YDR217C	3987
YDR218C	1272
YDR219C	1888
YDR220C	294
YDR221W	2745
YDR222W	1439
YDR223W	2046
YDR224C	572
YDR225W	633
YDR226W	1009
YDR227W	4368
YDR228C	2038
YDR229W	1533
YDR230W	348
YDR231C	940
YDR232W	2326
YDR233C	1078
YDR234W	2386
YDR235W	1718
YDR236C	791
YDR237W	1309
YDR238C	3338
YDR239C	2465
YDR240C	1558
YDR241W	288
YDR242W	1884
YDR243C	3400
YDR244W	2058
YDR245W	1396
YDR246W	876
YDR246W-A	201
YDR247W	2117
YDR248C	914
YDR249C	1245
YDR250C	404
YDR251W	2954
YDR252W	1385
YDR253C	1387
YDR254W	2047
YDR255C	2569
YDR256C	1733
YDR257C	1835
YDR258C	2567
YDR259C	1510
YDR260C	1466
YDR261C	1907
YDR262W	1366
YDR263C	1606
YDR264C	2828
YDR265W	1261
YDR266C	2264
YDR267C	1384
YDR268W	1312
YDR269C	324
YDR270W	3172
YDR271C	789
YDR272W	1887
YDR273W	1271
YDR274C	718
YDR275W	1106
YDR276C	695
YDR277C	1753
YDR278C	318
YDR279W	1155
YDR280W	1166
YDR281C	686
YDR282C	1542
YDR283C	5205
YDR284C	1324
YDR285W	2759
YDR286C	481
YDR287W	1495
YDR288W	1140
YDR289C	1673
YDR290W	330
YDR291W	3524
YDR292C	2387
YDR293C	4134
YDR294C	1857
YDR295C	2369
YDR296W	981
YDR297W	1242
YDR298C	934
YDR299W	1957
YDR300C	2015
YDR301W	4264
YDR302W	910
YDR303C	3018
YDR304C	813
YDR305C	830
YDR306C	2100
YDR307W	2229
YDR308C	2718
YDR309C	1566
YDR310C	3467
YDR311W	2058
YDR312W	1617
YDR313C	1065
YDR314C	2117
YDR315C	1037
YDR316W	1518
YDR317W	1405
YDR318W	1474
YDR319C	1735
YDR320C	2123
YDR320C-A	394
YDR320W-B	927
YDR321W	1441
YDR322W	1310
YDR322C-A	686
YDR323C	1764
YDR324C	2331
YDR325W	3424
YDR326C	4509
YDR327W	327
YDR328C	941
YDR329C	1454
YDR330W	1795
YDR331W	1404
YDR332W	2177
YDR333C	2445
YDR334W	4709
YDR335W	4144
YDR336W	1050
YDR337W	1139
YDR338C	2279
YDR339C	1102
YDR340W	303
YDR341C	2065
YDR342C	1941
YDR343C	2244
YDR344C	626
YDR345C	1875
YDR346C	1922
YDR347W	1154
YDR348C	1995
YDR349C	2041
YDR350C	2156
YDR351W	2970
YDR352W	1683
YDR353W	1284
YDR354W	1331
YDR354C-A	144
YDR355C	303
YDR356W	2863
YDR357C	556
YDR358W	1937
YDR359C	3237
YDR360W	435
YDR361C	1399
YDR362C	2344
YDR363W	2485
YDR363W-A	796
YDR364C	2332
YDR365C	2064
YDR366C	840
YDR367W	1070
YDR368W	1163
YDR369C	2588
YDR370C	1465
YDR371W	1730
YDR371C-A	274
YDR372C	1523
YDR373W	749
YDR374C	921
YDR374W-A	622
YDR375C	1462
YDR376W	1711
YDR377W	1100
YDR378C	581
YDR379W	3147
YDR379C-A	400
YDR380W	2160
YDR381W	1878
YDR381C-A	654
YDR382W	657
YDR383C	2269
YDR384C	1056
YDR385W	2763
YDR386W	2138
YDR387C	1968
YDR388W	2018
YDR389W	2937
YDR390C	2123
YDR391C	789
YDR392W	1318
YDR393W	1577
YDR394W	1491
YDR395W	3066
YDR396W	1085
YDR397C	768
YDR398W	2377
YDR399W	978
YDR400W	1293
YDR401W	564
YDR402C	1470
YDR403W	1611
YDR404C	1288
YDR405W	1609
YDR406W	4720
YDR406W-A	694
YDR407C	4019
YDR408C	784
YDR409W	2754
YDR410C	898
YDR411C	1326
YDR412W	973
YDR413C	919
YDR414C	1544
YDR415C	1514
YDR416W	2675
YDR417C	372
YDR418W	1132
YDR419W	2335
YDR420W	5690
YDR421W	2972
YDR422C	2799
YDR423C	1324
YDR424C	572
YDR425W	2035
YDR426C	378
YDR427W	2172
YDR428C	1568
YDR429C	1388
YDR430C	3078
YDR431W	312
YDR432W	1273
YDR433W	1137
YDR434W	1837
YDR435C	1148
YDR436W	2541
YDR437W	2017
YDR438W	1262
YDR439W	1375
YDR440W	2040
YDR441C	1052
YDR442W	1164
YDR443C	4316
YDR444W	2229
YDR445C	408
YDR446W	909
YDR447C	1002
YDR448W	1444
YDR449C	1816
YDR450W	1201
YDR451C	1463
YDR452W	2363
YDR453C	846
YDR454C	1086
YDR455C	309
YDR456W	2077
YDR457W	9921
YDR458C	2284
YDR459C	1396
YDR460W	1297
YDR461W	282
YDR461C-A	453
YDR462W	679
YDR463W	1815
YDR464W	4410
YDR464C-A	189
YDR465C	1464
YDR466W	3059
YDR467C	1740
YDR468C	1083
YDR469W	2730
YDR470C	1784
YDR471W	1171
YDR472W	1523
YDR473C	1708
YDR475C	2856
YDR476C	895
YDR477W	2339
YDR478W	1918
YDR479C	1795
YDR480W	1000
YDR481C	1850
YDR482C	603
YDR483W	1507
