Gene	Closest_gene	Distance
YAR068W	YAR066W	746
YAR069C	YAR070C	259
YAR071W	YAR068W	2569
YAR073W	YAR071W	879
YAR075W	YAR071W	1981
YBL113C	YBL111C	249
YBL112C	YBL111C	8
YBL111C	YBL108C-A	2596
YBL109W	YBL113W-A	4662
YBL108C-A	YBL107C	2228
YBL108W	YBL109W	2052
YBL107W-A	YBL108W	786
YBL107C	YBL106C	296
YBL106C	YBL105C	362
YBL105C	YBL104C	481
YBL104C	YBL103C	783
YBL103C	YBL101C	1410
YBL102W	YBL107W-A	14726
YBL101C	YBL100C	8690
YBL100W-C	YBL102W	3682
YBL100C	YBL096C	5871
YBL099W	YBL100W-C	8507
YBL098W	YBL099W	455
YBL097W	YBL098W	304
YBL096C	YBL094C	283
YBL095W	YBL097W	182
YBL094C	YBL093C	159
YBL093C	YBL091C-A	1647
YBL092W	YBL095W	1889
YBL091C-A	YBL091C	183
YBL091C	YBL088C	2391
YBL090W	YBL092W	2455
YBL089W	YBL090W	216
YBL088C	YBL087C	440
YBL087C	YBL086C	463
YBL086C	YBL084C	4567
YBL085W	YBL089W	12923
YBL084C	YBL083C	268
YBL083C	YBL080C	2932
YBL082C	YBL080C	1943
YBL081W	YBL085W	5048
YBL080C	YBL078C	5683
YBL079W	YBL081W	2287
YBL078C	YBL076C	312
YBL077W	YBL079W	1130
YBL076C	YBL075C	238
YBL075C	YBL074C	274
YBL074C	YBL072C	734
YBL073W	YBL077W	6318
YBL072C	YBL071C-B	333
YBL071C-B	YBL071C	667
YBL071W-A	YBL073W	2021
YBL071C	YBL070C	74
YBL070C	YBL067C	2714
YBL069W	YBL071W-A	515
YBL068W-A	YBL071W-A	1568
YBL068W	YBL069W	384
YBL067C	YBL066C	787
YBL066C	YBL064C	256
YBL065W	YBL068W	6569
YBL064C	YBL061C	4160
YBL063W	YBL065W	1579
YBL062W	YBL063W	87
YBL061C	YBL059C-A	2719
YBL060W	YBL062W	2244
YBL059C-A	YBL057C	2262
YBL059W	YBL060W	599
YBL058W	YBL059W	193
YBL057C	YBL055C	2146
YBL056W	YBL058W	1054
YBL055C	YBL052C	2550
YBL054W	YBL056W	2421
YBL053W	YBL054W	169
YBL052C	YBL051C	879
YBL051C	YBL047C	3136
YBL050W	YBL053W	5416
YBL049W	YBL050W	709
YBL048W	YBL049W	55
YBL047C	YBL045C	2103
YBL046W	YBL048W	4814
YBL045C	YBL042C	2825
YBL044W	YBL046W	2249
YBL043W	YBL044W	322
YBL042C	YBL040C	1852
YBL041W	YBL043W	3786
YBL040C	YBL039C	1121
YBL039W-B	YBL041W	1421
YBL039C	YBL036C	4719
YBL039C-A	YBL036C	5416
YBL038W	YBL039W-B	2615
YBL037W	YBL038W	324
YBL036C	YBL035C	273
YBL035C	YBL034C	238
YBL034C	YBL033C	267
YBL033C	YBL030C	3348
YBL032W	YBL037W	9898
YBL031W	YBL032W	370
YBL030C	YBL029C-A	491
YBL029C-A	YBL028C	2746
YBL029W	YBL031W	3419
YBL028C	YBL023C	7082
YBL027W	YBL029W	1159
YBL026W	YBL027W	1247
YBL025W	YBL026W	443
YBL024W	YBL025W	616
YBL023C	YBL022C	348
YBL022C	YBL021C	385
YBL021C	YBL018C	3904
YBL020W	YBL024W	7813
YBL019W	YBL020W	228
YBL018C	YBL017C	370
YBL017C	YBL014C	7481
YBL016W	YBL019W	6536
YBL015W	YBL016W	610
YBL014C	YBL012C	1658
YBL013W	YBL015W	6354
YBL012C	YBL010C	2300
YBL011W	YBL013W	277
YBL010C	YBL007C	5683
YBL009W	YBL011W	1377
YBL008W-A	YBL009W	185
YBL008W	YBL008W-A	5
YBL007C	YBL006C	221
YBL006C	YBL003C	18265
YBL006W-A	YBL008W	4536
YBL005W	YBL006W-A	610
YBL004W	YBL005W	7236
YBL003C	YBL001C	1361
YBL002W	YBL004W	1375
YBL001C	YBR001C	1474
YBR001C	YBR002C	425
YBR002C	YBR004C	1798
YBR003W	YBL002W	5922
YBR004C	YBR007C	3139
YBR005W	YBR003W	1676
YBR006W	YBR005W	463
YBR007C	YBR008C	1547
YBR008C	YBR009C	1164
YBR009C	YBR011C	1428
YBR010W	YBR006W	7828
YBR011C	YBR012C	1172
YBR012C	YBR013C	5926
YBR013C	YBR014C	844
YBR014C	YBR015C	374
YBR015C	YBR017C	1444
YBR016W	YBR010W	13506
YBR017C	YBR018C	724
YBR018C	YBR019C	726
YBR019C	YBR023C	6076
YBR020W	YBR016W	8388
YBR021W	YBR020W	836
YBR022W	YBR021W	394
YBR023C	YBR025C	2756
YBR024W	YBR022W	5174
YBR025C	YBR026C	1012
YBR026C	YBR027C	5
YBR027C	YBR028C	69
YBR028C	YBR029C	367
YBR029C	YBR034C	7188
YBR030W	YBR024W	7942
YBR031W	YBR030W	216
YBR032W	YBR031W	265
YBR033W	YBR032W	123
YBR034C	YBR035C	293
YBR035C	YBR036C	2126
YBR036C	YBR037C	252
YBR037C	YBR042C	8964
YBR038W	YBR033W	7195
YBR039W	YBR038W	786
YBR040W	YBR039W	458
YBR041W	YBR040W	402
YBR042C	YBR043C	267
YBR043C	YBR044C	396
YBR044C	YBR045C	2114
YBR045C	YBR046C	415
YBR046C	YBR049C	2875
YBR047W	YBR041W	11558
YBR048W	YBR047W	471
YBR049C	YBR050C	365
YBR050C	YBR052C	521
YBR051W	YBR048W	4176
YBR052C	YBR053C	323
YBR053C	YBR055C	3851
YBR054W	YBR051W	4763
YBR055C	YBR056C-B	3992
YBR056W	YBR054W	3744
YBR056W-A	YBR056W	1871
YBR056C-B	YBR057C	742
YBR057C	YBR058C	379
YBR058C	YBR058C-A	307
YBR058C-A	YBR059C	295
YBR059C	YBR060C	465
YBR060C	YBR061C	2273
YBR061C	YBR062C	257
YBR062C	YBR063C	370
YBR063C	YBR065C	400
YBR064W	YBR056W-A	16308
YBR065C	YBR066C	359
YBR066C	YBR067C	1404
YBR067C	YBR068C	1126
YBR068C	YBR069C	884
YBR069C	YBR070C	788
YBR070C	YBR072C-A	2926
YBR071W	YBR064W	12220
YBR072W	YBR071W	984
YBR072C-A	YBR076C-A	8330
YBR073W	YBR072W	438
YBR074W	YBR073W	298
YBR076W	YBR074W	1011
YBR076C-A	YBR077C	188
YBR077C	YBR079C	3090
YBR078W	YBR076W	1832
YBR079C	YBR080C	337
YBR080C	YBR081C	363
YBR081C	YBR082C	1377
YBR082C	YBR084C-A	7017
YBR083W	YBR078W	14427
YBR084W	YBR083W	425
YBR084C-A	YBR085C-A	3646
YBR085W	YBR084W	2002
YBR085C-A	YBR086C	1037
YBR086C	YBR088C	1949
YBR087W	YBR085W	6859
YBR088C	YBR089C-A	424
YBR089W	YBR087W	354
YBR089C-A	YBR091C	666
YBR090C	YBR091C	97
YBR091C	YBR092C	214
YBR092C	YBR093C	447
YBR093C	YBR095C	3455
YBR094W	YBR089W	6254
YBR095C	YBR099C	7226
YBR096W	YBR094W	1724
YBR097W	YBR096W	238
YBR098W	YBR097W	200
YBR099C	YBR101C	514
YBR101C	YBR102C	369
YBR102C	YBR103C-A	1997
YBR103W	YBR098W	4119
YBR103C-A	YBR105C	1418
YBR104W	YBR103W	351
YBR105C	YBR107C	1824
YBR106W	YBR104W	2002
YBR107C	YBR109C	3389
YBR108W	YBR106W	1598
YBR109C	YBR111C	2816
YBR109W-A	YBR108W	943
YBR110W	YBR109W-A	40
YBR111C	YBR112C	997
YBR111W-A	YBR110W	1918
YBR112C	YBR115C	3978
YBR113W	YBR111W-A	2987
YBR114W	YBR113W	1200
YBR115C	YBR116C	273
YBR116C	YBR120C	5709
YBR117C	YBR120C	3998
YBR118W	YBR114W	8051
YBR119W	YBR118W	291
YBR120C	YBR121C	441
YBR121C	YBR122C	603
YBR121C-A	YBR122C	1486
YBR122C	YBR123C	239
YBR123C	YBR125C	508
YBR124W	YBR119W	6184
YBR125C	YBR126C	525
YBR126C	YBR127C	877
YBR126W-A	YBR124W	3984
YBR126W-B	YBR124W	4061
YBR127C	YBR128C	259
YBR128C	YBR129C	238
YBR129C	YBR130C	253
YBR130C	YBR131C-A	781
YBR131W	YBR126W-B	6093
YBR131C-A	YBR132C	1913
YBR132C	YBR133C	362
YBR133C	YBR138C	9475
YBR134W	YBR131W	4966
YBR135W	YBR134W	210
YBR136W	YBR135W	362
YBR137W	YBR136W	270
YBR138C	YBR140C	2014
YBR139W	YBR137W	2081
YBR140C	YBR141C	397
YBR141C	YBR143C	2831
YBR141W-A	YBR139W	9977
YBR142W	YBR141W-A	1055
YBR143C	YBR144C	1053
YBR144C	YBR150C	7660
YBR145W	YBR142W	3124
YBR146W	YBR145W	443
YBR147W	YBR146W	479
YBR148W	YBR147W	411
YBR149W	YBR148W	282
YBR150C	YBR154C	3869
YBR151W	YBR149W	4007
YBR152W	YBR151W	398
YBR153W	YBR152W	209
YBR154C	YBR156C	2095
YBR155W	YBR153W	1577
YBR156C	YBR157C	343
YBR157C	YBR162C	8893
YBR158W	YBR155W	5621
YBR159W	YBR158W	487
YBR160W	YBR159W	350
YBR161W	YBR160W	660
YBR162C	YBR164C	3305
YBR162W-A	YBR161W	2467
YBR163W	YBR162W-A	295
YBR164C	YBR166C	1416
YBR165W	YBR163W	1372
YBR166C	YBR167C	268
YBR167C	YBR169C	2025
YBR168W	YBR165W	2686
YBR169C	YBR170C	348
YBR170C	YBR172C	1064
YBR171W	YBR168W	4752
YBR172C	YBR173C	354
YBR173C	YBR174C	166
YBR174C	YBR177C	2155
YBR175W	YBR171W	3424
YBR176W	YBR175W	365
YBR177C	YBR179C	385
YBR178W	YBR176W	1413
YBR179C	YBR181C	2598
YBR180W	YBR178W	3296
YBR181C	YBR182C	732
YBR182C	YBR182C-A	497
YBR182C-A	YBR185C	3568
YBR183W	YBR180W	4656
YBR184W	YBR183W	298
YBR185C	YBR188C	3726
YBR186W	YBR184W	1619
YBR187W	YBR186W	274
YBR188C	YBR193C	4975
YBR189W	YBR187W	1032
YBR190W	YBR189W	458
YBR191W	YBR189W	762
YBR191W-A	YBR191W	9
YBR192W	YBR191W-A	429
YBR193C	YBR195C	861
YBR194W	YBR192W	1253
YBR195C	YBR196C	354
YBR196C	YBR196C-A	124
YBR196C-A	YBR196C-B	353
YBR196C-B	YBR197C	573
YBR197C	YBR198C	271
YBR198C	YBR201C-A	5970
YBR199W	YBR194W	8500
YBR200W	YBR199W	569
YBR200W-A	YBR200W	456
YBR201W	YBR200W-A	429
YBR201C-A	YBR204C	7558
YBR202W	YBR201W	1561
YBR203W	YBR202W	859
YBR204C	YBR208C	3322
YBR205W	YBR203W	1680
YBR206W	YBR203W	2659
YBR207W	YBR206W	222
YBR208C	YBR211C	3948
YBR209W	YBR207W	6040
YBR210W	YBR209W	2650
YBR211C	YBR216C	8444
YBR212W	YBR210W	1908
YBR213W	YBR212W	464
YBR214W	YBR213W	223
YBR215W	YBR214W	358
YBR216C	YBR218C	1107
YBR217W	YBR215W	2515
YBR218C	YBR219C	250
YBR219C	YBR221C	1850
YBR220C	YBR221C	476
YBR221C	YBR222C	467
YBR221W-A	YBR217W	8146
YBR222C	YBR223C	312
YBR223C	YBR226C	2858
YBR223W-A	YBR221W-A	2079
YBR224W	YBR223W-A	1285
YBR225W	YBR223W-A	1787
YBR226C	YBR227C	7
YBR227C	YBR229C	1223
YBR228W	YBR225W	1984
YBR229C	YBR230C	328
YBR230C	YBR231C	2129
YBR230W-A	YBR228W	4135
YBR231C	YBR232C	283
YBR232C	YBR234C	1706
YBR233W	YBR230W-A	2866
YBR233W-A	YBR233W	308
YBR234C	YBR236C	3791
YBR235W	YBR233W-A	1640
YBR236C	YBR238C	3414
YBR237W	YBR235W	1706
YBR238C	YBR239C	1052
YBR239C	YBR240C	547
YBR240C	YBR241C	747
YBR241C	YBR243C	1392
YBR242W	YBR237W	10152
YBR243C	YBR245C	1357
YBR244W	YBR242W	2142
YBR245C	YBR247C	1465
YBR246W	YBR244W	3575
YBR247C	YBR248C	352
YBR248C	YBR249C	417
YBR249C	YBR254C	5742
YBR250W	YBR246W	6279
YBR251W	YBR250W	786
YBR252W	YBR251W	298
YBR253W	YBR252W	216
YBR254C	YBR255C-A	2355
YBR255W	YBR253W	821
YBR255C-A	YBR256C	312
YBR256C	YBR258C	1632
YBR257W	YBR255W	2345
YBR258C	YBR260C	2477
YBR259W	YBR257W	663
YBR260C	YBR261C	193
YBR261C	YBR262C	190
YBR262C	YBR264C	1730
YBR263W	YBR259W	3811
YBR264C	YBR266C	1567
YBR265W	YBR263W	846
YBR267W	YBR265W	297
YBR266C	YBR269C	1772
YBR268W	YBR267W	277
YBR269C	YBR270C	185
YBR270C	YBR272C	1963
YBR271W	YBR268W	3236
YBR272C	YBR273C	258
YBR273C	YBR275C	1985
YBR274W	YBR271W	3483
YBR275C	YBR276C	514
YBR276C	YBR277C	172
YBR277C	YBR280C	2168
YBR278W	YBR274W	9117
YBR279W	YBR278W	358
YBR280C	YBR281C	273
YBR281C	YBR283C	1337
YBR282W	YBR279W	5646
YBR283C	YBR288C	7597
YBR284W	YBR282W	2559
YBR285W	YBR284W	290
YBR286W	YBR285W	344
YBR287W	YBR286W	258
YBR288C	YBR291C	4210
YBR289W	YBR287W	1813
YBR290W	YBR289W	207
YBR291C	YBR292C	130
YBR292C	YBR296C	11725
YBR293W	YBR290W	3450
YBR294W	YBR293W	805
YBR295W	YBR294W	1035
YBR296C	YBR296C-A	1601
YBR296C-A	YBR298C	2389
YBR297W	YBR295W	4024
YBR298C	YBR298C-A	560
YBR298C-A	YBR300C	3344
YBR299W	YBR297W	3422
YBR300C	YBR302C	1243
YBR301W	YBR299W	1952
YCL073C	YCL068C	3177
YCL069W	YCL076W	7571
YCL068C	YCL067C	101
YCL067C	YCL064C	2780
YCL066W	YCL069W	2200
YCL065W	YCL069W	2669
YCL064C	YCL061C	1936
YCL063W	YCL065W	3171
YCL061C	YCL059C	323
YCL059C	YCL058C	144
YCL058C	YCL057C-A	51
YCL058W-A	YCL063W	5023
YCL057C-A	YCL056C	2600
YCL057W	YCL058W-A	843
YCL056C	YCL052C	6784
YCL055W	YCL057W	1023
YCL054W-A	YCL055W	1974
YCL054W	YCL054W-A	453
YCL052C	YCL050C	2443
YCL051W	YCL054W	1891
YCL050C	YCL049C	985
YCL049C	YCL047C	2937
YCL048W-A	YCL051W	3872
YCL048W	YCL048W-A	438
YCL047C	YCL045C	186
YCL045C	YCL044C	206
YCL046W	YCL048W	3084
YCL044C	YCL043C	289
YCL043C	YCL038C	4720
YCL041C	YCL038C	4314
YCL042W	YCL046W	3621
YCL040W	YCL046W	3875
YCL039W	YCL040W	305
YCL038C	YCL037C	847
YCL037C	YCL035C	2163
YCL036W	YCL039W	4144
YCL035C	YCL033C	1603
YCL034W	YCL036W	932
YCL033C	YCL031C	1393
YCL032W	YCL034W	719
YCL031C	YCL030C	366
YCL030C	YCL029C	266
YCL029C	YCL026C-B	3484
YCL028W	YCL032W	5669
YCL027W	YCL028W	436
YCL026C-B	YCL026C-A	718
YCL026C-A	YCL025C	733
YCL025C	YCL023C	1030
YCL023C	YCL022C	2274
YCL024W	YCL027W	5821
YCL022C	YCL017C	10692
YCL021W-A	YCL024W	1345
YCL018W	YCL021W-A	7327
YCL017C	YCL016C	351
YCL016C	YCL012C	5554
YCL014W	YCL018W	3863
YCL012C	YCL011C	287
YCL011C	YCL010C	213
YCL010C	YCL009C	269
YCL009C	YCL008C	148
YCL008C	YCL007C	121
YCL007C	YCL002C	3442
YCL005W-A	YCL014W	5832
YCL005W	YCL005W-A	604
YCL004W	YCL005W	314
YCL002C	YCR002C	5705
YCL001W	YCL004W	1246
YCL001W-A	YCL001W	598
YCL001W-B	YCL001W-A	229
YCR001W	YCL001W-B	1661
YCR002C	YCR004C	1227
YCR003W	YCR001W	2621
YCR004C	YCR005C	628
YCR005C	YCR006C	202
YCR006C	YCR007C	3008
YCR007C	YCR009C	4015
YCR008W	YCR003W	9299
YCR009C	YCR010C	731
YCR010C	YCR011C	600
YCR011C	YCR013C	1529
YCR012W	YCR008W	7465
YCR013C	YCR014C	136
YCR014C	YCR015C	284
YCR015C	YCR017C	2603
YCR016W	YCR012W	4638
YCR017C	YCR018C	604
YCR018C	YCR018C-A	2705
YCR018C-A	YCR020C	2150
YCR019W	YCR016W	8331
YCR020C	YCR020C-A	171
YCR020C-A	YCR021C	1013
YCR020W-B	YCR019W	1392
YCR021C	YCR022C	314
YCR022C	YCR023C	773
YCR023C	YCR024C	371
YCR024C	YCR024C-B	377
YCR024C-B	YCR024C-A	80
YCR024C-A	YCR025C	379
YCR025C	YCR026C	255
YCR026C	YCR027C	1031
YCR027C	YCR028C	2887
YCR028C	YCR028C-A	526
YCR028C-A	YCR030C	386
YCR030C	YCR031C	1062
YCR031C	YCR035C	13614
YCR032W	YCR020W-B	23964
YCR033W	YCR032W	466
YCR034W	YCR033W	423
YCR035C	YCR037C	1396
YCR036W	YCR034W	1662
YCR037C	YCR038C	436
YCR038C	YCR042C	1625
YCR038W-A	YCR036W	4995
YCR039C	YCR042C	996
YCR040W	YCR038W-A	1024
YCR041W	YCR038W-A	1493
YCR042C	YCR043C	864
YCR043C	YCR044C	233
YCR044C	YCR045C	185
YCR045C	YCR046C	304
YCR045W-A	YCR041W	7508
YCR046C	YCR047C	295
YCR047C	YCR049C	326
YCR047W-A	YCR045W-A	2200
YCR049C	YCR050C	1147
YCR048W	YCR047W-A	422
YCR050C	YCR054C	4604
YCR051W	YCR048W	310
YCR052W	YCR051W	255
YCR053W	YCR052W	252
YCR054C	YCR057C	390
YCR057C	YCR059C	226
YCR059C	YCR064C	3865
YCR060W	YCR053W	6158
YCR061W	YCR060W	829
YCR064C	YCR067C	4620
YCR063W	YCR061W	860
YCR065W	YCR063W	519
YCR066W	YCR065W	496
YCR067C	YCR071C	3781
YCR068W	YCR066W	4251
YCR069W	YCR068W	279
YCR071C	YCR072C	262
YCR072C	YCR073C	236
YCR073C	YCR075C	1450
YCR073W-A	YCR069W	6952
YCR075C	YCR076C	478
YCR075W-A	YCR073W-A	1065
YCR076C	YCR077C	193
YCR077C	YCR081C-A	5787
YCR079W	YCR075W-A	3643
YCR081W	YCR079W	198
YCR081C-A	YCR084C	1660
YCR082W	YCR081W	229
YCR083W	YCR082W	309
YCR084C	YCR087C-A	1554
YCR085W	YCR083W	2955
YCR086W	YCR085W	123
YCR087W	YCR086W	12
YCR087C-A	YCR090C	7848
YCR088W	YCR087W	577
YCR089W	YCR088W	588
YCR090C	YCR092C	3901
YCR091W	YCR089W	2141
YCR092C	YCR095C	8350
YCR093W	YCR091W	3551
YCR094W	YCR093W	319
YCR095C	YCR096C	3921
YCR095W-A	YCR094W	1702
YCR096C	YCR098C	3511
YCR097W	YCR095W-A	4038
YCR097W-A	YCR097W	118
YCR098C	YCR099C	2227
YCR099C	YCR101C	1183
YCR100C	YCR101C	261
YCR101C	YCR102C	1331
YCR102C	YCR108C	10530
YCR102W-A	YCR097W-A	12030
YCR104W	YCR102W-A	869
YCR105W	YCR104W	895
YCR106W	YCR105W	803
YCR107W	YCR106W	434
YDL247W-A	YDL248W	809
YDL247W	YDL247W-A	2149
YDL246C	YDL245C	1901
YDL245C	YDL243C	4217
YDL244W	YDL247W	8390
YDL243C	YDL240C-A	3905
YDL242W	YDL244W	1733
YDL241W	YDL242W	1323
YDL240C-A	YDL239C	3795
YDL240W	YDL241W	1817
YDL239C	YDL238C	210
YDL238C	YDL235C	2961
YDL237W	YDL240W	4781
YDL236W	YDL237W	467
YDL235C	YDL234C	319
YDL234C	YDL231C	2390
YDL233W	YDL236W	3563
YDL232W	YDL233W	314
YDL231C	YDL228C	3033
YDL230W	YDL232W	4103
YDL229W	YDL230W	358
YDL228C	YDL227C	353
YDL227C	YDL226C	3084
YDL226C	YDL224C	2224
YDL225W	YDL229W	6539
YDL224C	YDL223C	919
YDL223C	YDL222C	467
YDL222C	YDL220C	443
YDL221W	YDL225W	7911
YDL220C	YDL217C	2965
YDL219W	YDL221W	2680
YDL218W	YDL219W	728
YDL217C	YDL216C	391
YDL216C	YDL215C	321
YDL215C	YDL214C	528
YDL214C	YDL213C	744
YDL213C	YDL211C	1328
YDL212W	YDL218W	10980
YDL211C	YDL209C	5795
YDL210W	YDL212W	5212
YDL209C	YDL205C	5536
YDL208W	YDL210W	1527
YDL207W	YDL208W	266
YDL206W	YDL207W	312
YDL205C	YDL203C	2337
YDL204W	YDL206W	2141
YDL203C	YDL200C	2548
YDL202W	YDL204W	2689
YDL201W	YDL202W	337
YDL200C	YDL199C	223
YDL199C	YDL198C	296
YDL198C	YDL197C	366
YDL197C	YDL190C	12213
YDL196W	YDL201W	6320
YDL195W	YDL196W	138
YDL194W	YDL195W	551
YDL193W	YDL194W	438
YDL192W	YDL193W	522
YDL191W	YDL192W	798
YDL190C	YDL188C	2273
YDL189W	YDL191W	3699
YDL188C	YDL187C	511
YDL187C	YDL185C-A	770
YDL186W	YDL189W	2027
YDL185C-A	YDL184C	3572
YDL185W	YDL186W	338
YDL184C	YDL183C	387
YDL183C	YDL177C	9376
YDL182W	YDL185W	3435
YDL181W	YDL182W	456
YDL180W	YDL181W	460
YDL179W	YDL180W	752
YDL178W	YDL179W	317
YDL177C	YDL175C	2763
YDL176W	YDL178W	983
YDL175C	YDL174C	308
YDL174C	YDL172C	1018
YDL173W	YDL176W	3968
YDL172C	YDL171C	117
YDL171C	YDL169C	2424
YDL170W	YDL173W	7240
YDL169C	YDL167C	2260
YDL168W	YDL170W	1700
YDL167C	YDL166C	295
YDL166C	YDL164C	945
YDL165W	YDL168W	3526
YDL164C	YDL162C	105
YDL163W	YDL165W	2091
YDL162C	YDL160C-A	1651
YDL161W	YDL163W	456
YDL160C-A	YDL160C	802
YDL160C	YDL159C-B	1126
YDL159W-A	YDL161W	3104
YDL159W	YDL159W-A	168
YDL159C-B	YDL158C	634
YDL158C	YDL157C	58
YDL157C	YDL153C	6598
YDL156W	YDL159W	890
YDL155W	YDL156W	287
YDL154W	YDL155W	278
YDL153C	YDL151C	300
YDL152W	YDL154W	1783
YDL151C	YDL148C	4255
YDL150W	YDL152W	156
YDL149W	YDL150W	314
YDL148C	YDL145C	3985
YDL147W	YDL149W	3006
YDL146W	YDL147W	489
YDL145C	YDL144C	486
YDL144C	YDL142C	1987
YDL143W	YDL146W	5771
YDL142C	YDL140C	2790
YDL141W	YDL143W	1457
YDL140C	YDL139C	814
YDL139C	YDL135C	6634
YDL138W	YDL141W	8240
YDL137W	YDL138W	887
YDL136W	YDL137W	526
YDL135C	YDL134C	374
YDL134C	YDL133C-A	953
YDL133C-A	YDL126C	14356
YDL133W	YDL136W	4060
YDL132W	YDL133W	564
YDL131W	YDL132W	642
YDL130W-A	YDL131W	456
YDL130W	YDL130W-A	475
YDL129W	YDL130W	497
YDL128W	YDL129W	753
YDL127W	YDL128W	1040
YDL126C	YDL125C	355
YDL125C	YDL121C	5527
YDL124W	YDL127W	4406
YDL123W	YDL124W	221
YDL122W	YDL123W	712
YDL121C	YDL119C	1107
YDL120W	YDL122W	942
YDL119C	YDL115C	6383
YDL118W	YDL120W	855
YDL117W	YDL118W	899
YDL116W	YDL117W	328
YDL115C	YDL113C	1507
YDL114W-A	YDL116W	1189
YDL114W	YDL114W-A	556
YDL113C	YDL111C	4758
YDL112W	YDL114W	2385
YDL111C	YDL110C	402
YDL110C	YDL109C	294
YDL109C	YDL106C	3021
YDL108W	YDL112W	4473
YDL107W	YDL108W	222
YDL106C	YDL104C	1752
YDL105W	YDL107W	2413
YDL104C	YDL103C	272
YDL103C	YDL101C	3726
YDL102W	YDL105W	3275
YDL101C	YDL100C	264
YDL100C	YDL098C	1405
YDL099W	YDL102W	3254
YDL098C	YDL097C	226
YDL097C	YDL096C	303
YDL096C	YDL094C	2248
YDL095W	YDL099W	2615
YDL094C	YDL091C	3311
YDL093W	YDL095W	397
YDL092W	YDL093W	641
YDL091C	YDL090C	275
YDL090C	YDL088C	2088
YDL089W	YDL092W	3599
YDL088C	YDL087C	211
YDL087C	YDL086C-A	656
YDL086W	YDL089W	3139
YDL086C-A	YDL085C-A	375
YDL085C-A	YDL083C	4256
YDL085W	YDL086W	977
YDL084W	YDL085W	389
YDL083C	YDL081C	2013
YDL082W	YDL084W	1847
YDL081C	YDL080C	520
YDL080C	YDL079C	480
YDL079C	YDL078C	609
YDL078C	YDL077C	583
YDL077C	YDL076C	548
