ORF	gene_systematic_id_with_prefix	gene_name	chromosome_id	gene_product	uniprot_id	gene_type	synonyms	length.CDS	length.UTR5	length.UTR3	length.UTR5.Est	length.UTR3.Est	LengthTxEst
SPAC1071.06	PomBase:SPAC1071.06	arp9	chromosome_1	SWI/SNF and RSC complex subunit Arp9	Q9UTQ7	protein coding gene	NA	1572	55	251	55	251	1878
SPAC1071.07c	PomBase:SPAC1071.07c	rps1502	chromosome_1	40S ribosomal protein S15	Q9UTQ6	protein coding gene	rps15-2,rps15	465	18	186	18	186	669
SPAC1071.08	PomBase:SPAC1071.08	rpp203	chromosome_1	60S acidic ribosomal protein A2	O14317	protein coding gene	rpp2-3,rla6,rpa2	333	56	39	56	39	428
SPAC1071.09c	PomBase:SPAC1071.09c	NA	chromosome_1	nucleolar DNAJ domain protein, DNAJC9 family, implicated in mRNA splicing	Q9UTQ5	protein coding gene	NA	768	22	1643	22	1643	2433
SPAC1071.10c	PomBase:SPAC1071.10c	pma1	chromosome_1	plasma membrane P-type proton exporting ATPase, P3-type Pma1	P09627	protein coding gene	NA	2760	1432	278	1432	278	4470
SPAC1071.11	PomBase:SPAC1071.11	NA	chromosome_1	NADH-dependent flavin oxidoreductase (predicted), possibly riboflavin reductase	Q9UTQ4	protein coding gene	NA	735	112	995	112	995	1842
SPAC1071.12c	PomBase:SPAC1071.12c	stp1	chromosome_1	protein tyrosine phosphatase Stp1, unknown biological role	P41893	protein coding gene	SPAC926.01c	471	272	176	272	176	919
SPAC1071.13	PomBase:SPAC1071.13	NA	chromosome_1	dubious	G2TRN1	protein coding gene	NA	318	NA	150	97	150	565
SPAC1093.01	PomBase:SPAC1093.01	ppr5	chromosome_1	mitochondrial PPR repeat protein Ppr5	Q10451	protein coding gene	SPAC12B10.18	3786	814	320	814	320	4920
SPAC1093.02	PomBase:SPAC1093.02	pdx3	chromosome_1	pyridoxamine 5'-phosphate oxidase Pdx3	Q9UTQ1	protein coding gene	NA	696	16	471	16	471	1183
SPAC1093.03	PomBase:SPAC1093.03	fig4	chromosome_1	inositol polyphosphate phosphatase Fig4	Q7Z9H9	protein coding gene	NA	2499	25	826	25	826	3350
SPAC1093.04c	PomBase:SPAC1093.04c	cca1	chromosome_1	CTP 3'-tRNA nucleotidyltransferase Cca1	Q9UTQ0	protein coding gene	NA	1503	237	2747	237	2747	4487
SPAC1093.05	PomBase:SPAC1093.05	hca4	chromosome_1	ATP-dependent RNA helicase Hca4	Q9UTP9	protein coding gene	NA	2208	21	451	21	451	2680
SPAC1093.06c	PomBase:SPAC1093.06c	dhc1	chromosome_1	dynein heavy chain, minus-end directed microtubule motor Dhc1	O13290	protein coding gene	SPAC30C2.01c	12591	NA	NA	97	261	12949
SPAC1093.07	PomBase:SPAC1093.07	NA	chromosome_1	dubious	G2TRJ6	protein coding gene	NA	237	NA	1027	97	1027	1361
SPAC10F6.01c	PomBase:SPAC10F6.01c	sir1	chromosome_1	sulfite reductase beta subunit Sir1	Q1K9C2	protein coding gene	SPAC4C5.05c	4422	523	161	523	161	5106
SPAC10F6.02c	PomBase:SPAC10F6.02c	prp22	chromosome_1	ATP-dependent RNA helicase Prp22	O42643	protein coding gene	NA	3507	95	113	95	113	3715
SPAC10F6.03c	PomBase:SPAC10F6.03c	cts1	chromosome_1	CTP synthase Cts1	O42644	protein coding gene	NA	1803	42	251	42	251	2096
SPAC10F6.04	PomBase:SPAC10F6.04	ats1	chromosome_1	RCC domain protein Ats1	O42645	protein coding gene	NA	1056	15	1339	15	1339	2410
SPAC10F6.05c	PomBase:SPAC10F6.05c	ubc6	chromosome_1	ubiquitin conjugating enzyme E2 Ubc6	O42646	protein coding gene	NA	684	20	333	20	333	1037
SPAC10F6.06	PomBase:SPAC10F6.06	vip1	chromosome_1	RNA-binding protein Vip1	P87216	protein coding gene	NA	774	32	284	32	284	1090
SPAC10F6.07c	PomBase:SPAC10F6.07c	mug94	chromosome_1	Schizosaccharomyces pombe specific protein Mug94	O42647	protein coding gene	NA	567	NA	NA	97	261	925
SPAC10F6.08c	PomBase:SPAC10F6.08c	nht1	chromosome_1	Ino80 complex HMG box subunit Nht1	O42648	protein coding gene	hap1,nhp10,nht10	1026	55	NA	55	261	1342
SPAC10F6.09c	PomBase:SPAC10F6.09c	psm3	chromosome_1	mitotic/meiotic cohesin complex ATPase subunit Psm3/Smc3	O42649	protein coding gene	smc3	3585	22	240	22	240	3847
SPAC10F6.10	PomBase:SPAC10F6.10	rio1	chromosome_1	protein kinase, RIO family Rio1	O42650	protein coding gene	NA	1494	94	86	94	86	1674
SPAC10F6.11c	PomBase:SPAC10F6.11c	atg17	chromosome_1	autophagy associated protein kinase activator Atg17	O42651	protein coding gene	NA	1236	170	1326	170	1326	2732
SPAC10F6.12c	PomBase:SPAC10F6.12c	mam4	chromosome_1	protein-S isoprenylcysteine O-methyltransferase Mam4	P87014	protein coding gene	NA	711	202	265	202	265	1178
SPAC10F6.13c	PomBase:SPAC10F6.13c	caa1	chromosome_1	cytoplasmic aspartate aminotransferase Caa1	O42652	protein coding gene	aat2	1230	22	148	22	148	1400
SPAC10F6.14c	PomBase:SPAC10F6.14c	NA	chromosome_1	mitochondrial ABC1 kinase family protein, human ADCK5 ortholog, unknown role	O42653	protein coding gene	NA	1608	118	54	118	54	1780
SPAC10F6.15	PomBase:SPAC10F6.15	NA	chromosome_1	UPF0300 family protein 1	O42654	protein coding gene	NA	1299	NA	70	97	70	1466
SPAC10F6.16	PomBase:SPAC10F6.16	igo1	chromosome_1	serine/threonine protein phosphatase inhibitor, endosulfine Igo1	P79058	protein coding gene	mug134	420	NA	761	97	761	1278
SPAC10F6.17c	PomBase:SPAC10F6.17c	NA	chromosome_1	mitochondrial pyruvate dehydrogenase (lipoamide) phosphatase	O14189	protein coding gene	SPAC56E4.01c	1335	42	350	42	350	1727
SPAC110.01	PomBase:SPAC110.01	ppk1	chromosome_1	serine/threonine protein kinase Ppk1	Q9HFF4	protein coding gene	SPAC140.05	3072	1213	408	1213	408	4693
SPAC110.02	PomBase:SPAC110.02	pds5	chromosome_1	mitotic and meiotic cohesin loader subunit Pds5	Q9HFF5	protein coding gene	NA	3618	194	238	194	238	4050
SPAC110.03	PomBase:SPAC110.03	cdc42	chromosome_1	Rho family GTPase Cdc42	Q01112	protein coding gene	NA	579	99	377	99	377	1055
SPAC110.04c	PomBase:SPAC110.04c	pss1	chromosome_1	heat shock protein Pss1	O59838	protein coding gene	ssp1,SPAP14E8.01c	2163	131	231	131	231	2525
SPAC110.06	PomBase:SPAC110.06	NA	chromosome_1	dubious	NA	protein coding gene	SPAC110.05	93	NA	1489	97	1489	1679
SPAC1142.01	PomBase:SPAC1142.01	rqc1	chromosome_1	ribosome quality control complex (RQC) complex subunit Rqc1	O13796	protein coding gene	SPAC17G6.18	1971	13	120	13	120	2104
SPAC1142.02c	PomBase:SPAC1142.02c	sgt2	chromosome_1	TRC complex (ER membrane insertion) TPR repeat subunit Sgt2	O13797	protein coding gene	SPAC17G6.19c	954	69	170	69	170	1193
SPAC1142.03c	PomBase:SPAC1142.03c	swi2	chromosome_1	DNA recombination mediator Swi2	Q10668	protein coding gene	SPAC17G6.20c	2169	117	158	117	158	2444
SPAC1142.04	PomBase:SPAC1142.04	noc201	chromosome_1	Noc complex subunit Noc201	Q9P7G0	protein coding gene	noc2	2124	15	215	15	215	2354
SPAC1142.05	PomBase:SPAC1142.05	ctr5	chromosome_1	plasma membrane copper transporter complex subunit Ctr5	Q9P7F9	protein coding gene	NA	522	356	286	356	286	1164
SPAC1142.06	PomBase:SPAC1142.06	get3	chromosome_1	GET complex (ER membrane insertion) ATPase subunit Get3	Q9P7F8	protein coding gene	NA	990	92	299	92	299	1381
SPAC1142.07c	PomBase:SPAC1142.07c	vps32	chromosome_1	ESCRT III complex subunit Vps32	Q9P7F7	protein coding gene	snf7	669	216	214	216	214	1099
SPAC1142.08	PomBase:SPAC1142.08	fhl1	chromosome_1	DNA-binding forkhead transcription factor Fhl1	O14270	protein coding gene	SPAC8C9.01	2232	176	119	176	119	2527
SPAC1142.09	PomBase:SPAC1142.09	NA	chromosome_1	dubious	Q9P7F5	protein coding gene	SPAC8C9.02	348	NA	NA	97	261	706
SPAC11D3.01c	PomBase:SPAC11D3.01c	NA	chromosome_1	Con-6 family conserved fungal protein	Q10080	protein coding gene	NA	240	33	176	33	176	449
SPAC11D3.02c	PomBase:SPAC11D3.02c	NA	chromosome_1	ELLA family acetyltransferase	Q10081	protein coding gene	NA	453	231	NA	231	261	945
SPAC11D3.03c	PomBase:SPAC11D3.03c	NA	chromosome_1	aminomethyltransferase-like and DUF1989 family protein, implicated in urea metabolism	Q10082	protein coding gene	NA	909	64	101	64	101	1074
SPAC11D3.04c	PomBase:SPAC11D3.04c	NA	chromosome_1	polyketide cyclase SnoaL-like domain protein	Q10083	protein coding gene	NA	393	28	403	28	403	824
SPAC11D3.05	PomBase:SPAC11D3.05	mfs2	chromosome_1	transmembrane transporter Mfs2	Q10084	protein coding gene	NA	1641	84	242	84	242	1967
SPAC11D3.06	PomBase:SPAC11D3.06	NA	chromosome_1	MatE family transmembrane transporter	Q10085	protein coding gene	NA	1368	354	129	354	129	1851
SPAC11D3.07c	PomBase:SPAC11D3.07c	toe4	chromosome_1	DNA-binding transcription factor, zf-fungal binuclear cluster type	Q10086	protein coding gene	NA	1914	125	2141	125	2141	4180
SPAC11D3.08c	PomBase:SPAC11D3.08c	NA	chromosome_1	amino acid transmembrane transporter	Q10087	protein coding gene	NA	1653	348	235	348	235	2236
SPAC11D3.09	PomBase:SPAC11D3.09	NA	chromosome_1	agmatinase	Q10088	protein coding gene	NA	1185	32	87	32	87	1304
SPAC11D3.10	PomBase:SPAC11D3.10	NA	chromosome_1	nifs homolog, possible cysteine desulfurase	Q10089	protein coding gene	NA	1305	325	NA	325	261	1891
SPAC11D3.11c	PomBase:SPAC11D3.11c	NA	chromosome_1	DNA-binding transcription factor, zn(2)-C6 fungal-type, truncated	G2TRN9	protein coding gene	NA	1074	109	1074	109	1074	2257
SPAC11D3.13	PomBase:SPAC11D3.13	hsp3104	chromosome_1	ThiJ domain protein, implicated in cellular detoxification	Q10092	protein coding gene	NA	669	159	271	159	271	1099
SPAC11D3.14c	PomBase:SPAC11D3.14c	NA	chromosome_1	5-oxoprolinase (ATP-hydrolizing)	Q10093	protein coding gene	NA	3783	46	129	46	129	3958
SPAC11D3.15	PomBase:SPAC11D3.15	NA	chromosome_1	5-oxoprolinase (ATP-hydrolizing)	Q10094	protein coding gene	NA	3954	86	81	86	81	4121
SPAC11D3.16c	PomBase:SPAC11D3.16c	NA	chromosome_1	Schizosaccharomyces specific protein	Q10095	protein coding gene	NA	396	326	424	326	424	1146
SPAC11D3.17	PomBase:SPAC11D3.17	NA	chromosome_1	DNA-binding transcription factor, zf-fungal binuclear cluster type	Q10096	protein coding gene	NA	1758	305	336	305	336	2399
SPAC11D3.18c	PomBase:SPAC11D3.18c	NA	chromosome_1	carboxylic acid transmembrane transporter	Q10097	protein coding gene	NA	1497	31	43	31	43	1571
SPAC11D3.19	PomBase:SPAC11D3.19	NA	chromosome_1	Schizosaccharomyces pombe specific protein	G2TRM3	protein coding gene	NA	234	13	1163	13	1163	1410
SPAC11D3.20	PomBase:SPAC11D3.20	NA	chromosome_1	dubious	NA	protein coding gene	NA	87	NA	NA	97	261	445
SPAC11E3.01c	PomBase:SPAC11E3.01c	swr1	chromosome_1	Swr1 complex histone chaperone module subunit, SNF2 family ATP-dependent chromatin remodeller Swr1	O13682	protein coding gene	SPAC2H10.03c,mod22	3867	43	103	43	103	4013
SPAC11E3.02c	PomBase:SPAC11E3.02c	ync13	chromosome_1	Munc family exocytic/endocytic regulator Ync13	O13683	protein coding gene	NA	3714	129	162	129	162	4005
SPAC11E3.03	PomBase:SPAC11E3.03	csm1	chromosome_1	microtubule-site clamp monopolin complex subunit Csm1/Pcs1	O13684	protein coding gene	pcs1	786	20	235	20	235	1041
SPAC11E3.04c	PomBase:SPAC11E3.04c	ubc13	chromosome_1	ubiquitin conjugating enzyme E2 Ubc13	O13685	protein coding gene	spu13,sst5	447	13	204	13	204	664
SPAC11E3.05	PomBase:SPAC11E3.05	sea3	chromosome_1	GATOR2-SEACAT complex/GATOR1-SEACIT GTPase complex ubiquitin-protein ligase E3 subunit Sea3	O13686	protein coding gene	NA	3972	144	195	144	195	4311
SPAC11E3.06	PomBase:SPAC11E3.06	map1	chromosome_1	DNA-binding transcription factor, MADS-box Map1	P78926	protein coding gene	NA	1197	90	407	90	407	1694
SPAC11E3.07	PomBase:SPAC11E3.07	vma4	chromosome_1	V-type ATPase V1 subunit E	O13687	protein coding gene	NA	684	44	680	44	680	1408
SPAC11E3.08c	PomBase:SPAC11E3.08c	nse6	chromosome_1	Smc5-6 complex non-SMC subunit Nse6	O13688	protein coding gene	cor1	1569	47	116	47	116	1732
SPAC11E3.09	PomBase:SPAC11E3.09	pyp3	chromosome_1	protein tyrosine phosphatase Pyp3	P32587	protein coding gene	NA	912	123	335	123	335	1370
SPAC11E3.10	PomBase:SPAC11E3.10	NA	chromosome_1	Golgi multispanning membrane VanZ-like family protein	O13689	protein coding gene	NA	489	88	314	88	314	891
SPAC11E3.11c	PomBase:SPAC11E3.11c	syt22	chromosome_1	ArfGEF Syt22	O13690	protein coding gene	NA	2829	270	349	270	349	3448
SPAC11E3.12	PomBase:SPAC11E3.12	NA	chromosome_1	mitochondrial thioredoxin family protein, implicated in sulfur cluster assembly	O13691	protein coding gene	NA	489	114	2206	114	2206	2809
SPAC11E3.13c	PomBase:SPAC11E3.13c	gas5	chromosome_1	cell wall 1,3-beta-glucanosyltransferase Gas5	O13692	protein coding gene	NA	1533	448	323	448	323	2304
SPAC11E3.14	PomBase:SPAC11E3.14	NA	chromosome_1	protein with a role in clearing protein aggregates	O13693	protein coding gene	NA	1767	934	176	934	176	2877
SPAC11E3.15	PomBase:SPAC11E3.15	rpl22	chromosome_1	60S ribosomal protein L22	Q09668	protein coding gene	SPAP8A3.01	354	38	112	38	112	504
SPAC11G7.01	PomBase:SPAC11G7.01	mtl2	chromosome_1	plasma membrane-associated serine-rich cell wall sensor Mtl2	O13695	protein coding gene	NA	1611	149	1406	149	1406	3166
SPAC11G7.02	PomBase:SPAC11G7.02	pub1	chromosome_1	HECT-type ubiquitin-protein ligase E3 Pub1	Q92462	protein coding gene	NA	2304	257	302	257	302	2863
SPAC11G7.03	PomBase:SPAC11G7.03	idh1	chromosome_1	isocitrate dehydrogenase (NAD+) subunit 1 Idh1	O13696	protein coding gene	glu3	1071	69	227	69	227	1367
SPAC11G7.04	PomBase:SPAC11G7.04	ubi1	chromosome_1	ribosomal-ubiquitin fusion protein Ubi1	P0CH06	protein coding gene	NA	387	13	163	13	163	563
SPAC11G7.05c	PomBase:SPAC11G7.05c	mct1	chromosome_1	mitochondrial [acyl-carrier protein] S-malonyltransferase Mct1	O13698	protein coding gene	NA	957	431	467	431	467	1855
SPAC11G7.06c	PomBase:SPAC11G7.06c	mug132	chromosome_1	UPF0300 family protein 3	O13699	protein coding gene	NA	1293	994	378	994	378	2665
SPAC11H11.01	PomBase:SPAC11H11.01	sst6	chromosome_1	ESCRT I complex subunit Vps23	Q7Z992	protein coding gene	cps23	1464	149	100	149	100	1713
SPAC11H11.02c	PomBase:SPAC11H11.02c	mug162	chromosome_1	Schizosaccharomyces specific protein Mug162	Q9UTP5	protein coding gene	NA	795	136	1922	136	1922	2853
SPAC11H11.03c	PomBase:SPAC11H11.03c	NA	chromosome_1	ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity implicated in DNA repair	Q9UTP4	protein coding gene	NA	621	52	161	52	161	834
SPAC11H11.04	PomBase:SPAC11H11.04	mam2	chromosome_1	pheromone p-factor receptor Mam2	Q00619	protein coding gene	NA	1047	NA	188	97	188	1332
SPAC11H11.05c	PomBase:SPAC11H11.05c	fta6	chromosome_1	Mis6-Sim4 complex subunit Fta6	Q9UTP3	protein coding gene	NA	180	33	NA	33	261	474
SPAC11H11.06	PomBase:SPAC11H11.06	arp2	chromosome_1	ARP2/3 actin-organizing complex actin-related protein subunit Arp2	Q9UUJ1	protein coding gene	SPAC22F8.01	1173	33	488	33	488	1694
SPAC1250.01	PomBase:SPAC1250.01	snf21	chromosome_1	RSC-type complex ATPase Snf21	Q9UTN6	protein coding gene	SPAC29A4.21,brg1	3600	161	228	161	228	3989
SPAC1250.02	PomBase:SPAC1250.02	mug95	chromosome_1	Schizosaccharomyces specific protein Mug95	Q9UTN7	protein coding gene	NA	537	NA	72	97	72	706
SPAC1250.03	PomBase:SPAC1250.03	ubc14	chromosome_1	ubiquitin conjugating enzyme E2 for HECT-type and RBR family E3 Ub ligases, Ubc14	Q9UTN8	protein coding gene	NA	468	11	497	11	497	976
SPAC1250.04c	PomBase:SPAC1250.04c	atl1	chromosome_1	alkyltransferase-like protein Atl1	Q9UTN9	protein coding gene	NA	327	218	223	218	223	768
SPAC1250.05	PomBase:SPAC1250.05	rpl3002	chromosome_1	60S ribosomal protein L30	Q9UTP0	protein coding gene	rpl30-2,rpl30	354	69	138	69	138	561
SPAC1250.07	PomBase:SPAC1250.07	sfc7	chromosome_1	transcription factor TFIIIC subunit Sfc7	A6X980	protein coding gene	NA	363	NA	NA	97	261	721
SPAC1296.01c	PomBase:SPAC1296.01c	NA	chromosome_1	phosphoacetylglucosamine mutase	Q09770	protein coding gene	SPAC22F3.01	1629	410	107	410	107	2146
SPAC1296.02	PomBase:SPAC1296.02	cox4	chromosome_1	cytochrome c oxidase subunit IV	P79010	protein coding gene	NA	495	66	204	66	204	765
SPAC1296.03c	PomBase:SPAC1296.03c	sxa2	chromosome_1	serine carboxypeptidase Sxa2	P32825	protein coding gene	NA	1524	435	274	435	274	2233
SPAC1296.04	PomBase:SPAC1296.04	mug65	chromosome_1	dysferlin-like membrane trafficking protein Mug65	O94611	protein coding gene	NA	747	102	357	102	357	1206
SPAC1296.05c	PomBase:SPAC1296.05c	lcp1	chromosome_1	cyclin L family cyclin	O94612	protein coding gene	NA	777	75	66	75	66	918
SPAC1296.06	PomBase:SPAC1296.06	tah18	chromosome_1	CIA machinery NADPH-dependent diflavin oxidoreductase Tah18	O94613	protein coding gene	NA	1755	71	139	71	139	1965
SPAC12B10.01c	PomBase:SPAC12B10.01c	NA	chromosome_1	HECT-type ubiquitin-protein ligase E3, implicated in negative regulation of ubiquitinated chromatin formation	Q10435	protein coding gene	SPAC31F12.02c,SPAC637.15c	4944	202	193	202	193	5339
SPAC12B10.02c	PomBase:SPAC12B10.02c	sdg1	chromosome_1	ER resident protein acetylase Sdg1	Q10436	protein coding gene	pho86	708	108	41	108	41	857
SPAC12B10.03	PomBase:SPAC12B10.03	bun62	chromosome_1	WD repeat protein Wdr20	Q10437	protein coding gene	wdr20	1632	317	464	317	464	2413
SPAC12B10.04	PomBase:SPAC12B10.04	pby1	chromosome_1	P-body associated protein Pby1	Q10438	protein coding gene	NA	1212	39	136	39	136	1387
SPAC12B10.05	PomBase:SPAC12B10.05	icp55	chromosome_1	mitochondrial intermediate cleavage peptidase Icp55	Q10439	protein coding gene	ppp43	1461	8	178	8	178	1647
