"consensus.cluster"	"chr"	"start"	"end"	"strand"	"dominant_ctss"	"tpm"	"tpm.dominant_ctss"	"q_0.1"	"q_0.9"	"interquantile_width"
226	"chrI"	132493	132850	"+"	132499	0.537635781596754	0.241936101718539	132499	132809	311
230	"chrI"	133165	133423	"+"	133271	0.59139935975643	0.188172523558864	133251	133273	23
233	"chrI"	135761	135932	"+"	135829	17.4193993237348	4.51614056541273	135814	135844	31
235	"chrI"	136101	136170	"+"	136106	1.12903514135318	0.268817890798377	136106	136170	65
236	"chrI"	136282	136338	"+"	136335	0.94086261779432	0.376345047117728	136289	136335	47
237	"chrI"	136476	136565	"+"	136559	0.94086261779432	0.403226836197566	136548	136565	18
239	"chrI"	136795	136994	"+"	136874	88.7367857525443	25.9678082511232	136860	136882	23
240	"chrI"	137020	137350	"+"	137174	5.99463896480381	1.02150798503383	137056	137277	222
244	"chrI"	141914	142084	"+"	141949	8.27959103659001	0.967744406874157	141949	142054	106
246	"chrI"	142108	142450	"+"	142153	1086.45438745072	469.382919123046	142139	142153	15
247	"chrI"	142619	143131	"+"	142670	91.10238319157	53.9248688941544	142670	142872	203
249	"chrI"	143532	143734	"+"	143618	21.371022318471	4.16667730737484	143572	143630	59
257	"chrI"	152162	152294	"+"	152215	38.6022491186469	23.2258657649798	152208	152228	21
259	"chrI"	152474	152546	"+"	152544	0.591399359756429	0.430108625277403	152477	152544	68
264	"chrI"	154883	154965	"+"	154958	11.3441149916915	3.54839615853858	154920	154964	45
268	"chrI"	155919	156061	"+"	155945	2.12366133730718	0.913980828714482	155939	156014	76
269	"chrI"	158820	158907	"+"	158864	16.236600604222	2.87635143154263	158847	158891	45
273	"chrI"	169219	169371	"+"	169325	594.920874125888	205.780095406158	169283	169330	48
274	"chrI"	169392	169815	"+"	169536	14.8925111502301	3.38710542405955	169403	169743	341
275	"chrI"	169867	170004	"+"	169926	7.15055589523683	2.93011500970231	169878	169997	120
279	"chrI"	175261	175399	"+"	175312	6.31722043376186	1.90860702466848	175298	175382	85
282	"chrI"	179829	179903	"+"	179896	0.376345047117728	0.268817890798377	179893	179896	4
283	"chrI"	180188	180328	"+"	180328	0.725808305155618	0.34946325803789	180245	180328	84
289	"chrI"	183371	183393	"+"	183380	8.79034502910693	8.79034502910693	183380	183380	1
291	"chrI"	183580	184302	"+"	183688	33.9248178187552	6.18281148836267	183682	184134	453
292	"chrI"	184802	184946	"+"	184876	48.1452842419893	16.3172459714615	184850	184881	32
295	"chrI"	185228	185355	"+"	185232	2.31183386086604	0.618281148836267	185229	185340	112
297	"chrI"	185897	185976	"+"	185918	1.31720766491205	0.779571883315293	185902	185918	17
301	"chrI"	186902	187018	"+"	186986	14.6505750485115	4.56990414357241	186951	186997	47
302	"chrI"	187156	187174	"+"	187171	0.618281148836267	0.295699679878215	187161	187174	14
303	"chrI"	187317	187449	"+"	187396	2.44624280626523	0.994626195953995	187318	187422	105
304	"chrI"	188026	188091	"+"	188055	19.5161788719622	4.67743129989176	188045	188065	21
306	"chrI"	188837	188945	"+"	188854	3.81721404933695	1.61290734479026	188849	188932	84
307	"chrI"	189294	189318	"+"	189313	0.860217250554806	0.322581468958052	189296	189313	18
311	"chrI"	190144	190779	"+"	190163	2.87635143154263	1.66667092294994	190163	190258	96
316	"chrI"	191465	191698	"+"	191563	0.725808305155618	0.430108625277403	191532	191597	66
318	"chrI"	191872	192018	"+"	191933	1.61290734479026	0.725808305155618	191926	191936	11
320	"chrI"	192529	192952	"+"	192583	12.258095820406	1.69355271202978	192566	192619	54
325	"chrI"	193688	193897	"+"	193729	0.430108625277403	0.322581468958052	193729	193730	2
327	"chrI"	194172	194252	"+"	194174	0.241936101718539	0.134408945399189	194174	194249	76
328	"chrI"	194432	194641	"+"	194577	0.215054312638702	0.134408945399189	194484	194577	94
336	"chrI"	198471	198554	"+"	198530	4.78495845621111	2.09677954822734	198472	198538	67
337	"chrI"	198732	199500	"+"	199134	15.9677827134236	1.74731629018945	198787	199430	644
340	"chrI"	200580	200754	"+"	200628	7.23120126247634	1.53226197755075	200618	200647	30
342	"chrI"	207593	207624	"+"	207612	0.322581468958052	0.161290734479026	207612	207624	13
345	"chrI"	225686	225689	"+"	225687	0.295699679878215	0.188172523558864	225687	225689	3
346	"chrI"	227495	227521	"+"	227521	0.69892651607578	0.376345047117728	227496	227521	26
348	"chrI"	6300	6370	"-"	6331	3.7096868930176	1.8548434465088	6330	6355	26
366	"chrI"	24717	24755	"-"	24726	0.645162937916105	0.268817890798377	24718	24744	27
369	"chrI"	28436	28492	"-"	28471	0.295699679878215	0.188172523558864	28459	28471	13
371	"chrI"	29746	29784	"-"	29776	1.39785303215156	0.752690094235456	29749	29776	28
372	"chrI"	30653	30709	"-"	30677	0.403226836197566	0.295699679878215	30677	30695	19
375	"chrI"	31413	31619	"-"	31457	7.2043194733965	1.74731629018945	31443	31538	96
379	"chrI"	32299	32422	"-"	32376	0.806453672395131	0.268817890798377	32362	32391	30
380	"chrI"	32462	32610	"-"	32549	1.53226197755075	0.618281148836267	32540	32562	23
381	"chrI"	32631	32766	"-"	32728	2.90323322062247	0.510753992516916	32688	32757	70
383	"chrI"	32930	32982	"-"	32951	0.806453672395131	0.537635781596754	32951	32982	32
385	"chrI"	34072	34089	"-"	34088	0.241936101718539	0.134408945399189	34082	34088	7
386	"chrI"	34239	34524	"-"	34358	8.6290542946279	2.04301597006767	34343	34411	69
387	"chrI"	34735	34785	"-"	34738	0.833335461474969	0.69892651607578	34736	34738	3
392	"chrI"	42942	43491	"-"	43063	27.822651697632	5.40323960504738	43063	43314	252
393	"chrI"	43548	43630	"-"	43599	1.39785303215156	0.537635781596754	43594	43617	24
402	"chrI"	45002	45104	"-"	45063	18.6828434104872	7.06991052799732	45059	45073	15
403	"chrI"	45651	45708	"-"	45672	0.913980828714482	0.403226836197566	45662	45708	47
406	"chrI"	52057	52233	"-"	52161	0.618281148836267	0.268817890798377	52161	52219	59
409	"chrI"	52509	52702	"-"	52651	32.3119104739649	6.69356548087959	52617	52669	53
416	"chrI"	54739	54825	"-"	54790	4.11291372921517	1.88172523558864	54766	54799	34
420	"chrI"	56757	56906	"-"	56886	10.3763705848174	3.76345047117728	56870	56886	17
422	"chrI"	57319	57445	"-"	57383	18.9247795122057	5.51076676136673	57374	57415	42
423	"chrI"	58176	58344	"-"	58227	8.38711819290936	0.69892651607578	58201	58332	132
424	"chrI"	58371	58524	"-"	58476	212.554306254277	72.6345940937215	58466	58476	11
436	"chrI"	61007	61101	"-"	61058	3.14516932234101	0.645162937916105	61053	61093	41
441	"chrI"	62499	62557	"-"	62538	0.913980828714482	0.268817890798377	62528	62538	11
445	"chrI"	66167	66338	"-"	66250	1.77419807926929	1.10215335227335	66232	66250	19
452	"chrI"	67663	67697	"-"	67689	0.645162937916105	0.268817890798377	67684	67693	10
453	"chrI"	67747	67900	"-"	67844	72.87653019544	27.7151245413127	67833	67848	16
454	"chrI"	68067	68091	"-"	68071	0.268817890798377	0.161290734479026	68071	68088	18
455	"chrI"	68167	68290	"-"	68206	0.752690094235456	0.564517570676592	68186	68285	100
460	"chrI"	69344	69659	"-"	69581	59.8926260698784	8.06453672395131	69562	69605	44
462	"chrI"	70255	70329	"-"	70291	0.241936101718539	0.134408945399189	70273	70291	19
464	"chrI"	70751	70806	"-"	70788	0.268817890798377	0.134408945399189	70788	70791	4
465	"chrI"	71450	71522	"-"	71509	1.61290734479026	1.07527156319351	71501	71513	13
470	"chrI"	75480	75649	"-"	75643	2.47312459534507	0.430108625277403	75500	75643	144
471	"chrI"	75773	75998	"-"	75946	0.967744406874157	0.913980828714482	75818	75946	129
473	"chrI"	76158	76224	"-"	76184	60.2689711169961	25.9409264620434	76180	76199	20
477	"chrI"	81158	81632	"-"	81511	2.82258785338296	1.15591693043302	81430	81511	82
478	"chrI"	81717	82042	"-"	81982	38.8173034312856	10.3494887957375	81969	81997	29
482	"chrI"	82505	82622	"-"	82562	3.33334184589988	0.913980828714482	82557	82596	40
486	"chrI"	83999	84008	"-"	84007	0.483872203437079	0.376345047117728	84007	84008	2
488	"chrI"	84169	84301	"-"	84170	0.564517570676592	0.34946325803789	84170	84292	123
489	"chrI"	84392	84509	"-"	84494	7.28496484063602	2.58065175166442	84482	84507	26
491	"chrI"	85523	85576	"-"	85569	0.403226836197566	0.268817890798377	85567	85569	3
499	"chrI"	86978	87114	"-"	87078	40.6990286668743	26.2097443528418	87060	87078	19
501	"chrI"	88257	88296	"-"	88262	0.322581468958052	0.161290734479026	88262	88277	16
503	"chrI"	89278	89366	"-"	89330	0.994626195953995	0.456990414357241	89279	89362	84
504	"chrI"	89445	89533	"-"	89473	1.61290734479026	0.268817890798377	89449	89484	36
508	"chrI"	89878	89895	"-"	89894	0.322581468958052	0.215054312638702	89893	89894	2
509	"chrI"	90063	90099	"-"	90064	0.295699679878215	0.188172523558864	90064	90065	2
511	"chrI"	91036	91048	"-"	91048	0.645162937916105	0.241936101718539	91037	91048	12
512	"chrI"	91537	91558	"-"	91540	0.725808305155618	0.376345047117728	91538	91540	3
514	"chrI"	92136	92325	"-"	92281	5.53764855044657	0.564517570676592	92150	92300	151
515	"chrI"	92375	92404	"-"	92390	8.33335461474969	2.93011500970231	92376	92403	28
516	"chrI"	92440	92573	"-"	92522	81.2367665992695	17.5269264800542	92473	92547	75
518	"chrI"	95771	95877	"-"	95851	3.33334184589988	0.725808305155618	95778	95876	99
526	"chrI"	99157	99178	"-"	99164	0.913980828714482	0.537635781596754	99164	99165	2
529	"chrI"	99561	99655	"-"	99654	2.58065175166442	1.82796165742896	99564	99654	91
530	"chrI"	99722	99827	"-"	99783	92.419590856482	67.5001723794725	99775	99783	9
531	"chrI"	100434	100701	"-"	100691	4.35484983093371	0.645162937916105	100474	100698	225
532	"chrI"	100723	100797	"-"	100757	4.05915015105549	1.07527156319351	100754	100779	26
534	"chrI"	101114	101225	"-"	101168	59.1399359756429	31.1022299653722	101161	101170	10
538	"chrI"	103709	103783	"-"	103783	0.215054312638702	0.107527156319351	103765	103783	19
542	"chrI"	105721	106009	"-"	105962	13.575303485318	3.79033226025712	105955	105985	31
544	"chrI"	106979	107064	"-"	107043	0.510753992516916	0.161290734479026	107026	107045	20
546	"chrI"	107313	107601	"-"	107556	1.29032587583221	0.241936101718539	107364	107558	195
547	"chrI"	107675	107888	"-"	107793	0.69892651607578	0.456990414357241	107715	107795	81
550	"chrI"	108585	108718	"-"	108623	28.1183513775102	4.00538657289582	108623	108671	49
553	"chrI"	110362	110505	"-"	110446	12.7150862347632	3.62904152577809	110441	110471	31
554	"chrI"	110924	110988	"-"	110972	0.779571883315293	0.295699679878215	110950	110980	31
562	"chrI"	112706	113037	"-"	112844	0.483872203437079	0.241936101718539	112843	113034	192
563	"chrI"	113120	113305	"-"	113217	1.10215335227335	0.34946325803789	113215	113278	64
564	"chrI"	113335	113433	"-"	113403	43.9248433564548	14.3548753686333	113400	113418	19
568	"chrI"	114417	114691	"-"	114619	21.2097315839919	5.53764855044657	114570	114630	61
578	"chrI"	126988	127032	"-"	126989	0.241936101718539	0.134408945399189	126989	127032	44
579	"chrI"	127089	127220	"-"	127207	2.2849520717862	0.618281148836267	127188	127211	24
580	"chrI"	127272	127406	"-"	127386	0.268817890798377	0.134408945399189	127342	127406	65
581	"chrI"	127545	127593	"-"	127575	1.04838977411367	0.672044726995943	127571	127575	5
582	"chrI"	127643	127791	"-"	127748	1.61290734479026	0.295699679878215	127681	127751	71
583	"chrI"	127875	128102	"-"	128102	12.1236868750068	3.09140574418134	127937	128102	166
586	"chrI"	128758	129118	"-"	129050	42.8495717932613	12.2849776094858	129035	129073	39
587	"chrI"	130441	130476	"-"	130460	0.376345047117728	0.268817890798377	130442	130460	19
592	"chrI"	135575	135730	"-"	135702	23.0914568195806	4.86560382345062	135686	135710	25
594	"chrI"	137469	137488	"-"	137473	0.376345047117728	0.241936101718539	137473	137488	16
595	"chrI"	137974	138052	"-"	138047	3.54839615853858	1.29032587583221	138007	138048	42
596	"chrI"	138111	138345	"-"	138152	4.16667730737484	1.04838977411367	138152	138277	126
597	"chrI"	138350	138479	"-"	138420	175.968191316618	33.2796548808391	138414	138436	23
598	"chrI"	138952	139053	"-"	138964	0.295699679878215	0.188172523558864	138953	139053	101
599	"chrI"	139722	139787	"-"	139723	0.268817890798377	0.134408945399189	139723	139726	4
600	"chrI"	140142	140239	"-"	140235	1.58602555571042	0.725808305155618	140207	140236	30
601	"chrI"	140460	140533	"-"	140470	1.90860702466848	1.02150798503383	140470	140504	35
602	"chrI"	140648	140719	"-"	140686	3.46775079129906	2.41936101718539	140665	140689	25
604	"chrI"	141180	141678	"-"	141493	1972.63944625665	1128.14804231355	141488	141497	10
609	"chrI"	143741	143781	"-"	143770	0.860217250554806	0.537635781596754	143748	143770	23
613	"chrI"	149176	149289	"-"	149194	0.510753992516916	0.376345047117728	149194	149287	94
616	"chrI"	149745	149797	"-"	149747	0.295699679878215	0.161290734479026	149746	149782	37
619	"chrI"	150298	150384	"-"	150301	0.322581468958052	0.161290734479026	150301	150370	70
620	"chrI"	150490	150597	"-"	150545	1.82796165742896	0.34946325803789	150491	150590	100
621	"chrI"	150653	150722	"-"	150670	1.37097124307172	0.241936101718539	150654	150717	64
623	"chrI"	150981	151021	"-"	150982	0.403226836197566	0.268817890798377	150982	150983	2
624	"chrI"	151097	151112	"-"	151098	0.268817890798377	0.161290734479026	151098	151099	2
625	"chrI"	151124	151275	"-"	151203	73.037820929919	29.81190408954	151179	151204	26
626	"chrI"	151989	152063	"-"	152051	0.241936101718539	0.134408945399189	152003	152051	49
627	"chrI"	154269	154541	"-"	154378	3.81721404933695	0.725808305155618	154303	154526	224
628	"chrI"	154606	154802	"-"	154740	147.634785626469	78.1184790660084	154740	154752	13
630	"chrI"	157213	157328	"-"	157235	0.295699679878215	0.188172523558864	157226	157235	10
633	"chrI"	157831	158018	"-"	157910	0.913980828714482	0.34946325803789	157841	157967	127
635	"chrI"	158281	158594	"-"	158502	0.94086261779432	0.456990414357241	158346	158594	249
636	"chrI"	158636	158712	"-"	158661	20.3495143334371	4.27420446369419	158649	158691	43
640	"chrI"	167376	167388	"-"	167378	0.752690094235456	0.430108625277403	167377	167378	2
641	"chrI"	167461	167588	"-"	167588	0.564517570676592	0.215054312638702	167571	167588	18
643	"chrI"	167934	167991	"-"	167958	0.618281148836267	0.188172523558864	167935	167958	24
644	"chrI"	168134	168167	"-"	168156	1.34408945399189	1.04838977411367	168138	168156	19
648	"chrI"	168585	168658	"-"	168618	2.63441532982409	0.806453672395131	168614	168636	23
649	"chrI"	168762	169063	"-"	169021	64.2474759008121	27.4463066505143	168980	169027	48
656	"chrI"	171602	171768	"-"	171710	11.2903514135318	3.22581468958052	171699	171744	46
660	"chrI"	174551	174616	"-"	174554	0.241936101718539	0.134408945399189	174554	174555	2
664	"chrI"	175110	175197	"-"	175135	2.52688817350474	0.752690094235456	175135	175189	55
670	"chrI"	179586	179742	"-"	179739	0.295699679878215	0.188172523558864	179696	179739	44
671	"chrI"	179820	180162	"-"	180051	5.75270286308527	1.55914376663059	180023	180108	86
674	"chrI"	180784	180824	"-"	180824	0.564517570676592	0.403226836197566	180822	180824	3
675	"chrI"	180904	181074	"-"	180996	1.23656229767253	0.268817890798377	180939	181008	70
679	"chrI"	183232	183391	"-"	183387	0.241936101718539	0.295699679878215	183244	183387	144
685	"chrI"	184672	184680	"-"	184680	0.34946325803789	0.241936101718539	184673	184680	8
689	"chrI"	188920	189092	"-"	189003	3.62904152577809	1.12903514135318	188991	189077	87
690	"chrI"	190012	190069	"-"	190041	5.61829391768608	1.39785303215156	190030	190066	37
692	"chrI"	191857	191920	"-"	191892	0.806453672395131	0.215054312638702	191858	191915	58
694	"chrI"	198182	198353	"-"	198217	5.94087538664413	1.39785303215156	198209	198335	127
695	"chrI"	198696	198886	"-"	198738	0.34946325803789	0.215054312638702	198735	198738	4
696	"chrI"	198967	199014	"-"	198999	1.61290734479026	0.672044726995943	198992	199014	23
699	"chrI"	200391	200443	"-"	200419	3.38710542405955	1.6397891338701	200416	200428	13
701	"chrI"	206907	207224	"-"	207100	0.806453672395131	0.322581468958052	207066	207155	90
704	"chrI"	207633	207695	"-"	207686	0.215054312638702	0.107527156319351	207686	207695	10
705	"chrI"	208064	208102	"-"	208069	0.672044726995943	0.241936101718539	208069	208093	25
706	"chrI"	208600	208672	"-"	208669	0.618281148836267	0.376345047117728	208653	208669	17
710	"chrI"	223020	223039	"-"	223022	0.241936101718539	0.134408945399189	223022	223039	18
713	"chrII"	8417	8577	"+"	8549	0.510753992516916	0.241936101718539	8513	8550	38
715	"chrII"	9332	9333	"+"	9333	1.23656229767253	1.23656229767253	9333	9333	1
716	"chrII"	10622	10813	"+"	10759	0.618281148836267	0.295699679878215	10735	10759	25
724	"chrII"	23962	24027	"+"	23980	14.1667028450745	5.02689455792965	23980	24010	31
725	"chrII"	24077	24285	"+"	24085	3.14516932234101	1.47849839939107	24081	24246	166
728	"chrII"	28483	28687	"+"	28687	0.34946325803789	0.376345047117728	28497	28687	191
729	"chrII"	29438	29635	"+"	29576	3.46775079129906	0.887099039634644	29454	29585	132
740	"chrII"	36671	37041	"+"	36757	252.527526615995	134.973462969865	36733	36757	25
743	"chrII"	37608	37684	"+"	37627	0.779571883315293	0.618281148836267	37618	37682	65
747	"chrII"	38481	38557	"+"	38509	1.12903514135318	0.456990414357241	38507	38549	43
748	"chrII"	38597	38662	"+"	38624	2.60753354074426	1.72043450110961	38623	38626	4
749	"chrII"	39093	39183	"+"	39115	26.0753354074426	13.6559488525576	39113	39121	9
751	"chrII"	40013	40088	"+"	40064	1.82796165742896	0.376345047117728	40027	40083	57
752	"chrII"	40178	40233	"+"	40179	1.37097124307172	0.430108625277403	40179	40229	51
753	"chrII"	40659	41138	"+"	40813	10.5645431083762	4.22044088553452	40768	40816	49
754	"chrII"	41163	41228	"+"	41191	0.860217250554806	0.34946325803789	41191	41206	16
758	"chrII"	41997	42045	"+"	42042	0.430108625277403	0.215054312638702	42042	42045	4
761	"chrII"	43232	43374	"+"	43267	11.5322875152504	4.73119487805144	43252	43267	16
768	"chrII"	45294	45364	"+"	45305	0.806453672395131	0.268817890798377	45295	45364	70
770	"chrII"	45491	45738	"+"	45613	2484.06548350056	587.125155292735	45609	45626	18
771	"chrII"	45924	46145	"+"	45982	28.817277893586	5.96775717572397	45982	46087	106
772	"chrII"	46566	46590	"+"	46583	0.806453672395131	0.34946325803789	46575	46583	9
773	"chrII"	46741	46927	"+"	46778	3.38710542405955	1.69355271202978	46774	46782	9
774	"chrII"	48729	48971	"+"	48794	129.14011473954	44.8657059742491	48794	48818	25
775	"chrII"	49049	49102	"+"	49081	1.82796165742896	0.645162937916105	49064	49083	20
776	"chrII"	49506	49630	"+"	49558	16.3172459714615	5.5645303395264	49535	49579	45
781	"chrII"	50425	50429	"+"	50428	0.564517570676592	0.295699679878215	50426	50428	3
784	"chrII"	63474	63535	"+"	63485	0.672044726995943	0.215054312638702	63483	63534	52
785	"chrII"	63606	64083	"+"	63740	92.7959359035998	34.8387986474697	63680	63745	66
789	"chrII"	64950	64955	"+"	64954	0.295699679878215	0.161290734479026	64953	64954	2
790	"chrII"	65057	65151	"+"	65058	1.90860702466848	0.967744406874157	65058	65064	7
792	"chrII"	65551	65688	"+"	65634	2.95699679878215	1.96237060282815	65634	65636	3
793	"chrII"	65750	65934	"+"	65881	0.430108625277403	0.59139935975643	65881	65933	53
794	"chrII"	66466	66470	"+"	66468	0.69892651607578	0.483872203437079	66467	66468	2
796	"chrII"	71536	71607	"+"	71566	13.4946581180785	3.65592331485793	71549	71570	22
797	"chrII"	71800	72006	"+"	71802	0.483872203437079	0.376345047117728	71802	71809	8
798	"chrII"	72153	72344	"+"	72155	0.59139935975643	0.779571883315293	72155	72182	28
