# S. cerevisiae 5' and 3' UTR estimates.
# 
# Extensive transcriptional heterogeneity revealed by isoform profiling
# Vicent Pelechano Wu Wei, & Lars M. Steinmetz, Nature 2013
# Supplementary Data 3, http://www.nature.com/nature/journal/v497/n7447/full/nature12121.html
# header annotated by Edward Wallace
# 
# Column key
#   chr: chromosome
#   strand: DAN strand (determined from annotation)
#   gene: systematic ORF name
#   type: Verified - this file only includes verified ORFs
#   mTIF_number: number of detected reads with median 5' UTR and median 3' UTR length
#   median5: median 5' UTR length
#   median3: median 3' UTR length
#   sd5: standard deviation of 5' UTR length (interquartile range would be better)
#   sd3: standard deviation of 3' UTR length
#
chr	strand	gene	type	mTIF_number	median5	median3	sd5	sd3
1	-	YAL007C	Verified	77	69	146	25.7701669330914	111.429751601791
1	-	YAL005C	Verified	90	62	146	52.6088301878386	34.8383748121315
1	-	YAR002C-A	Verified	78	26	115	19.4139751442725	53.220488657287
1	-	YAR007C	Verified	20	63	73	19.3947225594463	12.4489483808663
1	-	YAR014C	Verified	11	145	178	39.8453829879265	67.0200784026019
1	-	YAR018C	Verified	42	16	111	64.0022683976627	63.9881531210067
1	-	YAR019C	Verified	2	16.5	73.5	23.3345237791561	16.2634559672906
1	-	YAR023C	Uncharacterized	2	554	33	456.79098064651	4.24264068711928
1	+	YAL064W-B	Uncharacterized	9	728	554	130.630628533706	419
1	+	YAL062W	Verified	8	38	86	7.46420027292179	99.0222738291023
1	+	YAL061W	Uncharacterized	23	97	167	41.4574881071936	81.5805332123386
1	+	YAL060W	Verified	28	48	112	60.8499759796138	16.3613300710279
1	+	YAL059W	Verified	4	6.5	197	9.5	6
1	+	YAL058W	Verified	35	49	132	20.8692608977934	66.3993267152258
1	+	YAL056W	Verified	28	40.5	98	20.3169007239405	21.3483020402092
1	+	YAL055W	Verified	16	7	94	9.73652915571047	20.0565866155402
1	+	YAL053W	Verified	22	140	65	50.1489771921613	7.73044243622189
1	+	YAL051W	Verified	2	27.5	80	3.53553390593274	0
1	+	YAL047W-A	Dubious	1	322	150	NA	NA
1	+	YAL044W-A	Uncharacterized	74	12	131	67.0322398353339	35.5653655118447
1	+	YAL042W	Verified	30	29	94.5	13.3408455848773	13.283859361655
1	+	YAL041W	Verified	8	64	62	18.0865972476859	50.6585206484133
1	+	YAL038W	Verified	164	38	147	37.240407791369	42.2505123142017
1	+	YAL037W	Uncharacterized	7	143	143	216.580019304424	711.241838182311
1	+	YAL035W	Verified	27	35	120	17.1534884277853	12.109307479593
1	+	YAL034W-A	Verified	16	26	88	11.5222610628296	27.1903782001403
1	+	YAL033W	Verified	41	10	79	11.0413855616925	35.8425758547351
1	+	YAL030W	Verified	45	22	133	8.21202616516617	47.121002630344
1	+	YAL028W	Verified	20	51	43	183.513831401858	18.0743348134134
1	+	YAL027W	Verified	1	80	101	NA	NA
1	+	YAL019W	Verified	4	110	49	12.7279220613579	16
1	+	YAL016W	Verified	29	81	84	14.128021277648	17.3254845182784
1	+	YAL013W	Verified	23	34	101	12.3504492565228	47.8505991801277
1	+	YAL012W	Verified	47	55	99	53.3599301551357	13.560533418896
1	+	YAL011W	Verified	11	14	106	13.6854268874197	18.866998605068
1	+	YAL009W	Verified	26	25	111.5	19.2353840616713	23.0216286264761
1	+	YAL008W	Verified	67	48	132	55.5469453602194	138.812287635327
1	+	YAL004W	Dubious	1	1963	745	NA	NA
1	+	YAL003W	Verified	168	33	210.5	21.3962940063364	89.0206527220711
1	+	YAL002W	Verified	1	95	56	NA	NA
1	+	YAR002W	Verified	35	42	100	13.9921947029421	55.1270191040121
1	+	YAR003W	Verified	41	61	495	20.8055163885716	65.0719582930894
1	+	YAR008W	Verified	29	89	97	14.8091304548102	19.0504903418786
1	+	YAR015W	Verified	120	89	120	39.2262667099483	173.959736479354
1	+	YAR027W	Verified	18	95.5	83	7.40274635488555	59.5048193797088
1	+	YAR028W	Uncharacterized	18	39	198	24.0493093673343	49.4767391045358
1	+	YAR029W	Uncharacterized	5	1189	264	397.159539731831	36.4513374240233
1	+	YAR033W	Verified	21	60	93	46.1988455844227	10.5046474975422
1	+	YAR035W	Verified	1	44	104	NA	NA
1	+	YAR042W	Verified	5	36	164	10.4307238483242	17.1172427686237
10	-	YJL216C	Verified	1	844	199	NA	NA
10	-	YJL215C	Dubious	6	1571.5	338	576.548696989248	788.735697176183
10	-	YJL212C	Verified	29	32	186	17.8313113658146	64.2095169656766
10	-	YJL211C	Dubious	1	529	582	NA	NA
10	-	YJL208C	Verified	49	52	114	20.7351290864391	130.446815210796
10	-	YJL206C	Uncharacterized	6	150	87	109.918909504537	11.6347181601733
10	-	YJL205C	Verified	41	19	118	137.08354226885	42.6081550650668
10	-	YJL204C	Verified	3	26	72	5.77350269189626	4.04145188432738
10	-	YJL200C	Verified	16	23	147	34.884511845039	39.775149276904
10	-	YJL199C	Dubious	11	367	226	170.359246086829	13.2067475866764
10	-	YJL196C	Verified	29	28	135	44.7597582722598	33.85818730072
10	-	YJL192C	Verified	46	24	107	16.2507524909384	21.3341938232256
10	-	YJL190C	Verified	120	22	141	19.3665150391573	43.0721204844295
10	-	YJL187C	Verified	11	93	103	52.4000346981148	34.7026328579364
10	-	YJL185C	Uncharacterized	13	57	178	20.1653421900305	41.2341655700271
10	-	YJL180C	Verified	18	16	102	18.2860352446155	17.7988947295828
10	-	YJL178C	Verified	32	22	98	106.845791613352	33.1165463954394
10	-	YJL176C	Verified	16	58	235	12.2685234102017	63.0215571583777
10	-	YJL173C	Verified	27	8	77	14.6757935860013	46.2867317755481
10	-	YJL171C	Verified	30	32	170	40.0955181374757	144.034514541864
10	-	YJL170C	Verified	1	108	27	NA	NA
10	-	YJL168C	Verified	28	93	184	72.4535519886168	35.8290325953629
10	-	YJL165C	Verified	2	154	20.5	15.556349186104	10.6066017177982
10	-	YJL164C	Verified	40	219	112	65.4524881507816	101.068239831136
10	-	YJL163C	Uncharacterized	28	64	61.5	26.8658237687305	29.3897365377203
10	-	YJL162C	Verified	6	49	113	19.1494125236259	21.6371593945847
10	-	YJL160C	Uncharacterized	1	33	78	NA	NA
10	-	YJL158C	Verified	217	37	173	15.8140516437338	86.5816363765309
10	-	YJL156C	Verified	8	58.5	385.5	25.4221500720477	15.2127765851133
10	-	YJL155C	Verified	22	143	162.5	30.8038059154134	18.8602171834736
10	-	YJL154C	Verified	8	68	57	8.71370021452261	20.074415131135
10	-	YJL153C	Verified	3	4	139	0	9.16515138991168
10	-	YJL151C	Verified	49	33	73	63.367067188577	73.9680536392818
10	-	YJL147C	Uncharacterized	13	81	171	10.1867183513255	47.8913032092145
10	-	YJL142C	Dubious	20	1036.5	9	901.843683210881	43.2293759770879
10	-	YJL141C	Verified	7	88	157	52.7726480380924	78.4956777699985
10	-	YJL139C	Verified	52	83	142	57.2505277363756	324.508405908505
10	-	YJL138C	Verified	80	57	204	23.9096929658563	38.3989199973388
10	-	YJL137C	Verified	27	74	123	54.5134657558841	53.0901507114465
10	-	YJL136C	Verified	126	33	147	35.3027792421818	36.9012315362088
10	-	YJL133C-A	Uncharacterized	29	29	170	159.338565090574	11.3054326711441
10	-	YJL131C	Verified	20	28.5	97	7.59691765749352	122.023725044289
10	-	YJL129C	Verified	1	287	70	NA	NA
10	-	YJL128C	Verified	31	221	45	69.2192092177539	62.2445575631843
10	-	YJL127C-B	Uncharacterized	46	99	250	621.20820410732	48.3506715528701
10	-	YJL127C	Verified	8	68	475	18.8826261793367	68.2420848366838
10	-	YJL125C	Verified	26	39	91	13.3096263601257	25.6813910478745
10	-	YJL124C	Verified	97	151	214	62.892991267036	59.7344711592355
10	-	YJL123C	Verified	48	30	95.5	94.8576177322832	43.0249597689593
10	-	YJL121C	Verified	70	24.5	80.5	146.220528873966	65.6428459911182
10	-	YJL119C	Dubious	11	341	411	49.2784297270483	332.864263900194
10	-	YJL116C	Verified	13	205	314	12.842238002898	86.596766683289
10	-	YJL110C	Verified	64	91.5	108	23.0169020021761	25.8540959190928
10	-	YJL108C	Verified	7	751	173	334.368915164929	25.1026464171182
10	-	YJL107C	Uncharacterized	1	104	724	NA	NA
10	-	YJL103C	Uncharacterized	21	174	194	41.3254216698448	19.223992945325
10	-	YJL101C	Verified	95	143	154	45.6061404285962	56.9922000124757
10	-	YJL094C	Verified	6	45	138	6.71317113342619	11.5715167545141
10	-	YJL093C	Verified	2	4	109.5	0	37.476659402887
10	-	YJL091C	Verified	69	8	153	8.08121605056597	303.288378576744
10	-	YJL090C	Verified	3	44	83	26.3502055652956	14.0118997046558
10	-	YJL087C	Verified	8	114	200	17.62303687142	40.1461615315124
10	-	YJL084C	Verified	3	141	145	16.1658075373095	8.66025403784439
10	-	YJL081C	Verified	56	41.5	176.5	23.9460432433625	79.416064896445
10	-	YJL080C	Verified	10	201	121	13.6662601565559	14.8757819589052
10	-	YJL079C	Verified	48	164	184	66.1213390036167	28.7328116982154
10	-	YJL078C	Verified	42	81	342	20.0407975295738	24.0882041580242
10	-	YJL074C	Verified	2	23	96	0	4.24264068711928
10	-	YJL072C	Verified	49	37	152	81.3170393235867	172.779599391787
10	-	YJL070C	Uncharacterized	4	31.5	90	12.9871731591854	12
10	-	YJL069C	Verified	34	22	89	16.6427546825176	13.6042878843898
10	-	YJL068C	Verified	31	32	103	22.2093654564577	26.675670522959
10	-	YJL066C	Verified	25	29	214	12.6626748095864	16.8144778886133
10	-	YJL065C	Verified	48	29	123	17.7540326055481	68.5714897178679
10	-	YJL063C	Verified	21	23	79	12.7928551487595	29.2392430362575
10	-	YJL058C	Verified	8	54	35.5	45.4892059410016	16.8348066304818
10	-	YJL057C	Verified	15	66	82	25.2356512743003	14.0299000437671
10	-	YJL056C	Verified	1	101	111	NA	NA
10	-	YJL048C	Verified	23	56	140	29.5127091267474	36.2035309351714
10	-	YJL047C-A	Uncharacterized	26	183.5	320	74.264019655447	176.7450532438
10	-	YJL047C	Verified	7	111	79	69.1241119808628	2.88675134594813
10	-	YJL044C	Verified	55	49	261	20.0309860975541	94.6962964016468
10	-	YJL038C	Verified	1	36	15	NA	NA
10	-	YJL035C	Verified	26	53	84	21.833953798191	41.2373430465453
10	-	YJL031C	Verified	4	20.5	107.5	27.7668867538296	4.04145188432738
10	-	YJL029C	Verified	28	33	100	26.5621961545024	8.94722918298788
10	-	YJL027C	Uncharacterized	1	68	61	NA	NA
10	-	YJL024C	Verified	37	31	233	10.0033778078991	86.629461868718
10	-	YJL023C	Verified	5	17	80	29.6866973575708	34.4354468534968
10	-	YJL020C	Verified	6	84	149	25.1290005106981	7.7567175188134
10	-	YJL012C	Verified	42	20	79	16.8599477971094	30.7863738203792
10	-	YJL011C	Verified	38	28	164	18.8463880953082	72.7080181498003
10	-	YJL010C	Verified	27	37	83	9.97832408608538	75.5759839150596
10	-	YJL008C	Verified	96	33	163	14.8539047675049	49.9960513791717
10	-	YJL006C	Verified	23	53	53	15.7007590259864	18.69486623957
10	-	YJL004C	Verified	30	13	270	35.8016406225241	34.3236957793595
10	-	YJL002C	Verified	40	44	111	63.633244012778	16.3103710910637
10	-	YJR003C	Uncharacterized	17	22	87	14.6761611425588	70.7125498471265
10	-	YJR004C	Verified	5	35	232	424.314977345839	49.3558507170123
10	-	YJR009C	Verified	109	48	119	74.4242209358594	40.3726588178236
10	-	YJR010C-A	Verified	20	30	238	46.7902373983022	693.088395288949
10	-	YJR011C	Uncharacterized	34	45	91	37.2486585912153	57.3541473432289
10	-	YJR016C	Verified	13	15	135	16.5405484670172	49.3007515415749
10	-	YJR017C	Verified	22	14	242	15.4253544024622	16.6661255323408
10	-	YJR019C	Verified	9	19	75	8.6087810467633	9.55830063929311
10	-	YJR021C	Verified	14	35	98	13.904699181955	11.3352993338955
10	-	YJR025C	Verified	27	100	152	56.7558373317236	28.4771613393737
10	-	YJR031C	Verified	3	86	133	7.50555349946513	78.92612579706
10	-	YJR036C	Verified	2	256	125	144.249783362056	22.6274169979695
10	-	YJR041C	Verified	1	73	174	NA	NA
10	-	YJR043C	Verified	16	54.5	138	20.8002403832263	27.7845880540514
10	-	YJR044C	Verified	30	82	177	35.6277045756997	12.6620076126027
10	-	YJR045C	Verified	76	139	219	49.7512743379063	51.1207651701238
10	-	YJR047C	Verified	13	54	110	345.241832744705	847.608006883685
10	-	YJR049C	Verified	58	26	132	13.4310995216984	108.37021755647
10	-	YJR056C	Uncharacterized	31	166	132	25.892997351175	15.2784900453061
10	-	YJR058C	Verified	88	70.5	46	89.6498820881082	41.9780864736786
10	-	YJR062C	Verified	33	17	629	12.627156281506	315.042171900458
10	-	YJR065C	Verified	68	30	163	17.8528272723245	61.2836422811008
10	-	YJR067C	Verified	26	14	151	8.47947748753061	339.983648928094
10	-	YJR069C	Verified	62	33	147	19.3583275103477	28.032673389573
10	-	YJR070C	Verified	91	57	110	114.787030064647	28.2996740382562
10	-	YJR072C	Verified	60	33.5	77	15.4756141321875	89.9829409444754
10	-	YJR073C	Verified	61	34	89	134.168662714677	33.4730704908802
10	-	YJR076C	Verified	18	48	134	21.8081354370755	13.1397714885473
10	-	YJR077C	Verified	86	40	151	44.4550419232057	32.6254141285413
10	-	YJR080C	Verified	38	31.5	129.5	22.7376809220435	17.9320869938354
10	-	YJR082C	Verified	59	107	197	36.5999588007931	28.5333276890774
10	-	YJR083C	Verified	21	25	94	11.9769620124479	128.161412363658
10	-	YJR085C	Uncharacterized	32	44	88	22.1817092625084	12.0361937371172
10	-	YJR088C	Verified	43	37	267	46.4669949193272	117.898341066086
10	-	YJR091C	Verified	1	70	283	NA	NA
10	-	YJR093C	Verified	27	58	111	26.797488932835	313.285079936056
10	-	YJR094C	Verified	3	197	163	20.2072594216369	5.19615242270663
10	-	YJR098C	Uncharacterized	2	47.5	150.5	23.3345237791561	118.086832458153
10	-	YJR100C	Verified	26	34.5	72	90.7701408037823	8.1440870480462
10	-	YJR102C	Verified	35	79	137	59.4757206306726	25.9257828905396
10	-	YJR104C	Verified	113	48	71	234.466333952807	174.071051690574
10	-	YJR109C	Verified	13	57	103	26.8332935180466	6.72538245981366
10	-	YJR113C	Verified	92	57.5	73	133.759294902322	30.2908342452592
10	-	YJR118C	Verified	49	48	102	21.3238911395958	19.4561254191715
10	-	YJR119C	Verified	8	30	65.5	28.7050891456052	14.6653137904181
10	-	YJR124C	Uncharacterized	49	27	141	84.0599984138314	54.6430750073466
10	-	YJR125C	Verified	39	60	91	13.0730326831903	75.4035387579388
10	-	YJR126C	Verified	1	9	77	NA	NA
10	-	YJR129C	Uncharacterized	6	56	173.5	7.52772652709081	221.044264043803
10	-	YJR130C	Verified	66	51.5	135	23.8563103417847	32.4472424579277
10	-	YJR134C	Verified	31	41	97	132.927039572325	18.4023724510715
10	-	YJR135C	Verified	27	34	194	24.6419372457823	261.45262082158
10	-	YJR136C	Verified	5	18	86	28.014282071829	4.9295030175465
10	-	YJR139C	Verified	109	64	83	32.1678563474653	24.9632621673534
10	-	YJR143C	Verified	25	47	136	24.5382015097548	25.3131718017847
10	-	YJR145C	Verified	112	33	84	52.9800287461789	45.4242186110244
10	-	YJR150C	Verified	1	37	107	NA	NA
10	+	YJL218W	Uncharacterized	19	45	146	27.4043792120894	17.0158165156982
10	+	YJL217W	Verified	92	65	113	47.6937144345034	28.8997868980384
10	+	YJL213W	Verified	2	348	222.5	0	54.4472221513642
10	+	YJL210W	Verified	51	111	63	288.948024364787	172.002362044885
10	+	YJL209W	Verified	10	73	93	16.4954539191863	2.83823106098773
10	+	YJL203W	Verified	37	39	147	11.9980604038092	69.7299703769388
10	+	YJL201W	Verified	25	25	68	17.1294094079938	44.5723382080561
10	+	YJL198W	Verified	30	45.5	90	26.6756809476907	22.6711878520004
10	+	YJL197W	Verified	1	40	75	NA	NA
10	+	YJL194W	Verified	8	38	130.5	23.3421751954942	38.4781941958225
10	+	YJL193W	Uncharacterized	14	19	95.5	8.11219405017486	46.679701214709
10	+	YJL191W	Verified	81	30	114	14.4613576194468	59.8197524048518
10	+	YJL189W	Verified	1	26	181	NA	NA
10	+	YJL186W	Verified	57	29	118	103.890513146314	165.774681382498
10	+	YJL184W	Verified	49	41	76	74.7687591640972	53.0821305623089
10	+	YJL183W	Verified	26	65	92	20.0821773260233	27.9283699158015
10	+	YJL181W	Uncharacterized	12	22	84	20.4737451977952	10.6472360903493
10	+	YJL179W	Verified	51	62	133	23.8831961601359	21.3719075276997
10	+	YJL177W	Verified	208	63	105	36.9617949327755	47.312519958029
10	+	YJL175W	Dubious	1	2211	415	NA	NA
10	+	YJL174W	Verified	83	115	182	28.7419589746568	58.6331327413866
10	+	YJL172W	Verified	14	33	128	10.5406069846283	56.9216253156165
10	+	YJL167W	Verified	64	70	115	39.1904056731414	14.8232894700969
10	+	YJL166W	Verified	112	60	163	27.6572359335708	42.8722164879476
10	+	YJL161W	Uncharacterized	20	24	154	31.0396605380244	17.0198027077439
10	+	YJL159W	Verified	108	54	311	27.1032409460922	81.2469553707051
10	+	YJL152W	Dubious	1	1014	372	NA	NA
10	+	YJL149W	Verified	7	27	64	10.3716646962495	3.20713490294909
10	+	YJL148W	Verified	104	57	183	20.6055453429353	129.531993504692
10	+	YJL146W	Verified	16	117	229	25.9293913027925	53.1124593041344
10	+	YJL145W	Verified	17	35	83	30.3582772897278	17.8951192820179
10	+	YJL144W	Uncharacterized	6	33	232	23.5966099260042	8.97589364167528
10	+	YJL143W	Verified	156	40	259	21.4518706490234	190.683049243548
10	+	YJL140W	Verified	46	99	68	18.2662144236834	37.1007246306045
10	+	YJL135W	Dubious	1	2	1313	NA	NA
10	+	YJL134W	Verified	28	50	90	79.829613526355	47.4858374876632
10	+	YJL133W	Verified	44	97.5	140	51.8275111219023	14.0687491987352
10	+	YJL132W	Uncharacterized	12	22	117.5	10.9031549506915	38.3811625197002
10	+	YJL126W	Verified	13	26	121	230.341413268797	9.60768922830523
10	+	YJL122W	Verified	64	17	120	15.765015518093	33.6265341598443
10	+	YJL120W	Dubious	1	486	1127	NA	NA
10	+	YJL118W	Verified	6	9.5	174	446.90107033511	5.16397779494322
10	+	YJL117W	Verified	87	50	162	30.0907519799355	180.449930708352
10	+	YJL115W	Verified	57	76	102	82.6338778554145	27.6210709223456
10	+	YJL112W	Verified	30	25	137	18.4850358864715	14.4431107548153
10	+	YJL111W	Verified	78	51	168.5	19.4676400980964	44.025346134143
10	+	YJL106W	Verified	3	763	139	141.029547731436	20.7846096908265
10	+	YJL104W	Verified	64	33	176	66.408757072189	21.5162360253464
10	+	YJL102W	Verified	14	31	115	10.3286649031382	27.1285097997668
10	+	YJL100W	Verified	28	65	81	140.70295928417	22.8430057140673
10	+	YJL099W	Verified	1	88	341	NA	NA
10	+	YJL097W	Verified	58	49	73	20.1346420691372	18.0469241161603
10	+	YJL096W	Verified	47	41	71	48.9788226622507	13.2394163829439
10	+	YJL092W	Verified	5	214	93	3.286335345031	32.3542887419891
10	+	YJL088W	Verified	9	22	80	230.383255564384	15.2643375224737
10	+	YJL085W	Verified	12	68	111	25.8473080480992	4.93288286231625
10	+	YJL083W	Verified	20	55	377	139.908842502989	112.383741097891
10	+	YJL082W	Verified	12	111	213.5	33.6058932421988	106.748074995063
10	+	YJL077W-B	Uncharacterized	65	2045	897	757.979797909193	395.852717609039
10	+	YJL077W-A	Dubious	70	970.5	162	1115.26062510283	29.0505235624878
10	+	YJL076W	Verified	4	39.5	136	13.3759734848222	40.4145188432738
10	+	YJL073W	Verified	30	98	93	32.9328993875268	24.7761472239807
10	+	YJL071W	Verified	28	57	119	24.1023775419481	29.5927159277217
10	+	YJL062W-A	Verified	71	29	184	18.6038225448341	32.4900851615199
10	+	YJL062W	Verified	9	25	93	15.2151240547029	11.5950180872841
10	+	YJL061W	Verified	34	40	167	5.69923533664472	228.197417814765
10	+	YJL060W	Verified	35	44	97	20.7852970012115	16.419807673466
10	+	YJL059W	Verified	18	35	84	9.2023370149081	23.6549266656136
10	+	YJL055W	Uncharacterized	46	22	66.5	21.7703428105061	20.154248182623
10	+	YJL054W	Verified	54	19	83	63.5826824868943	56.0009608582836
10	+	YJL053W	Verified	37	43	167	13.0401896668165	28.439493750853
10	+	YJL052W	Verified	35	74	129	29.2497791415924	74.0698965831054
10	+	YJL051W	Verified	5	75	90	3.57770876399966	63.2439720447728
10	+	YJL050W	Verified	9	48	59	18.0831413200251	11.3333333333333
10	+	YJL049W	Uncharacterized	3	23	77	5.77350269189626	8.66025403784439
10	+	YJL046W	Verified	16	32	67	184.531286868469	65.4030771447338
10	+	YJL045W	Verified	1	29	211	NA	NA
10	+	YJL043W	Uncharacterized	2	1443.5	314	473.0544366138	0
10	+	YJL042W	Verified	1	108	155	NA	NA
10	+	YJL041W	Verified	22	58	129	13.6508725122726	15.6346269044566
10	+	YJL036W	Verified	25	109	154	27.7790088616087	27.7931046604489
10	+	YJL034W	Verified	91	38	196	20.5200220874956	67.9442689814504
10	+	YJL033W	Verified	2	32.5	81	9.19238815542512	0
10	+	YJL030W	Verified	31	38	139	38.9335800551912	436.656834823239
10	+	YJL026W	Verified	59	58	141	53.941528401273	29.2950288308822
10	+	YJL025W	Verified	23	62	148	17.052464961548	152.395081513693
10	+	YJL022W	Dubious	2	92	478	9.89949493661167	4.24264068711928
10	+	YJL019W	Verified	31	103	536	12.9848547012627	172.816877411553
10	+	YJL016W	Uncharacterized	24	170	116	76.9502827447226	15.3820312071576
10	+	YJL014W	Verified	116	35	154	18.8612228430829	66.1847551486968
10	+	YJL003W	Verified	61	57	210	47.1163830521037	36.5916171832762
10	+	YJL001W	Verified	94	37	153	46.3760713175316	66.3316137201817
10	+	YJR001W	Verified	66	56	120	34.995773970641	35.0963376116784
10	+	YJR002W	Verified	40	15	344	9.79138161068977	143.802551152435
10	+	YJR005W	Verified	38	42	137	15.0655278043207	94.8351418261069
10	+	YJR006W	Verified	31	8	76	8.34253255686579	62.8318972483559
10	+	YJR007W	Verified	101	96	127	27.4117160757553	30.4270463324137
10	+	YJR008W	Uncharacterized	14	111	100	34.3034294892694	64.8885773655693
10	+	YJR010W	Verified	4	79	129	36.9086710679212	4.5
10	+	YJR013W	Verified	18	40	94	20.7673071377017	8.47988777826842
10	+	YJR014W	Verified	112	39	201	141.813070311579	89.9305247180387
10	+	YJR015W	Uncharacterized	19	16	82	12.4672670837683	45.9617181158814
10	+	YJR018W	Dubious	1	210	126	NA	NA
10	+	YJR020W	Dubious	1	531	311	NA	NA
10	+	YJR032W	Verified	19	23	121	17.660045101371	35.6204816566297
10	+	YJR034W	Verified	47	75	139	25.480688666363	54.2044985178764
10	+	YJR035W	Verified	3	11	149	13.856406460551	24.2487113059643
10	+	YJR040W	Verified	17	44	69	22.059245094011	9.69384280021572
10	+	YJR042W	Verified	29	23	125	8.14916357640917	41.1559870606448
10	+	YJR046W	Verified	23	27	42	27.4125270691377	27.1934222458067
10	+	YJR048W	Verified	58	46	183	46.4909913929759	24.0153522686136
10	+	YJR050W	Verified	14	23	271.5	10.2702493629912	14.6311800129528
10	+	YJR051W	Verified	110	32	79	28.7282513742573	99.7601247262878
10	+	YJR052W	Verified	15	26	60	25.5426813672443	9.5503677316386
10	+	YJR053W	Verified	2	68.5	1394	24.7487373415292	374.76659402887
10	+	YJR054W	Uncharacterized	12	93	103	108.646598351413	43.1761718796586
10	+	YJR055W	Verified	15	10	407	16.7710067278821	42.2656001067174
10	+	YJR057W	Verified	13	7	69	10.1007742785215	197.548371226793
10	+	YJR059W	Verified	5	75	124	9.25742944882649	40.5314692553823
10	+	YJR060W	Verified	47	56	586	38.2012660163822	127.38703253944
10	+	YJR063W	Verified	64	32	145	14.8555795594658	33.0409460679244
10	+	YJR064W	Verified	46	50	56	17.0672582551453	40.2706783681612
10	+	YJR068W	Verified	16	48	71	18.2172079821982	17.0165360752416
10	+	YJR074W	Verified	1	750	101	NA	NA
10	+	YJR075W	Verified	52	49	172	16.9677184406136	75.6177475237999
10	+	YJR084W	Verified	12	23	128	11.4266435062175	70.389124073814
10	+	YJR086W	Verified	1	29	17	NA	NA
10	+	YJR089W	Verified	2	118	80	25.4558441227157	0
10	+	YJR094W-A	Verified	68	34.5	130	25.6497094404798	26.5193453995649
10	+	YJR095W	Verified	1	97	193	NA	NA
10	+	YJR096W	Verified	17	85	81	40.419764385028	6.3979546363984
10	+	YJR097W	Verified	19	79	128	16.2903121211918	32.8808766121529
10	+	YJR099W	Verified	42	90	85	38.0060283133256	212.241717053004
10	+	YJR101W	Verified	41	66	140	32.2029198797328	24.4026188118826
10	+	YJR103W	Verified	43	44	74	38.5196013728398	82.6127807261891
10	+	YJR105W	Verified	60	38	45	99.5854401356225	15.0078698752385
10	+	YJR106W	Verified	9	35	183	21.2864067214528	160.513066273262
10	+	YJR107W	Uncharacterized	6	803	110	809.406861020258	20.5953069087758
10	+	YJR110W	Verified	5	126	145	6.70820393249937	58.6370190238215
10	+	YJR112W	Verified	49	32	77	17.6542280688645	25.4929795591398
10	+	YJR112W-A	Uncharacterized	28	20	104.5	14.9906496430134	52.6132313814892
10	+	YJR115W	Uncharacterized	5	642	293	318.619993095223	33.8378486313773
10	+	YJR116W	Uncharacterized	21	108	151	49.1624614827982	21.4030482920185
10	+	YJR117W	Verified	27	30	133	12.9406931213725	208.875070010269
10	+	YJR121W	Verified	220	193	258	65.0304146998276	53.4627695241948
